Country,dependency_status,count
American Samoa,"unincorporated and unorganized territory of the US; administered by the Office of Insular Affairs, US Department of the Interior 
				",2
Anguilla,"overseas territory of the UK 
				",1
Aruba,"part of the Kingdom of the Netherlands; full autonomy in internal affairs obtained in 1986 upon separation from the Netherlands Antilles; Dutch Government responsible for defense and foreign affairs 
				",3
Ashmore and Cartier Islands,"territory of Australia; administered by the Australian Department of Transport and Regional Services 
				",2
Baker Island,"unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system 
				",2
Bassas da India,"possession of France; administered by a high commissioner of the Republic, resident in Reunion 
				",2
Bermuda,"overseas territory of the UK 
				",1
Bouvet Island,"territory of Norway; administered by the Polar Department of the Ministry of Justice and Police from Oslo 
				",2
British Indian Ocean Territory,"overseas territory of the UK; administered by a commissioner, resident in the Foreign and Commonwealth Office in London 
				",2
British Virgin Islands,"overseas territory of the UK; internal self-governing 
				",2
Cayman Islands,"overseas territory of the UK 
				",1
Christmas Island,"territory of Australia; administered by the Australian Department of Transport and Regional Services 
				",2
Clipperton Island,"possession of France; administered by France from French Polynesia by a high commissioner of the Republic 
				",2
Cocos (Keeling) Islands,"territory of Australia; administered from Canberra by the Australian Department of Transport and Regional Services 
				",2
Cook Islands,"self-governing in free association with New Zealand; Cook Islands is fully responsible for internal affairs; New Zealand retains responsibility for external affairs and defense, in consultation with the Cook Islands 
				",3
Coral Sea Islands,"territory of Australia; administered from Canberra by the Department of the Environment, Sport, and Territories 
				",2
Europa Island,"possession of France; administered by a high commissioner of the Republic, resident in Reunion 
				",2
Falkland Islands (Islas Malvinas),"overseas territory of the UK; also claimed by Argentina 
				",2
Faroe Islands,"part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 
				",2
French Guiana,"overseas department of France 
				",1
French Polynesia,"overseas territory of France since 1946 
				",1
French Southern and Antarctic Lands,"overseas territory of France since 1955; administered from Paris by Administrateur Superieur Francois GARDE (since 24 May 2000), assisted by Secretary General Jean-Yves HERMOSO (since NA) 
				",2
Gibraltar,"overseas territory of the UK 
				",1
Glorioso Islands,"possession of France; administered by a high commissioner of the Republic, resident in Reunion 
				",2
Greenland,"part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979 
				",2
Guadeloupe,"overseas department of France 
				",1
Guam,"organized, unincorporated territory of the US with policy relations between Guam and the US under the jurisdiction of the Office of Insular Affairs, US Department of the Interior 
				",1
Guernsey,"British crown dependency 
				",1
Heard Island and McDonald Islands,"territory of Australia; administered from Canberra by the Australian Antarctic Division of the Department of the Environment and Heritage 
				",2
Hong Kong,"special administrative region of China 
				",1
Howland Island,"unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system 
				",2
Jan Mayen,"territory of Norway; since August 1994, administered from Oslo through the county governor (fylkesmann) of Nordland; however, authority has been delegated to a station commander of the Norwegian Defense Communication Service 
				",3
Jarvis Island,"unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system 
				",2
Jersey,"British crown dependency 
				",1
Johnston Atoll,"unincorporated territory of the US; administered from Honolulu, HI, by Pacific Air Forces, Hickam Air Force Base, and the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system 
				",2
Juan de Nova Island,"possession of France; administered by a high commissioner of the Republic, resident in Reunion 
				",2
Kingman Reef,"unincorporated territory of the US; administered from Washington, DC, by the US Fish and Wildlife Service of the Department of the Interior 
			
note: on 1 September 2000, the Department of the Interior accepted restoration of its administrative jurisdiction over Kingman Reef from the Department of the Navy; Executive Order 3223 signed 18 January 2001 established Kingman Reef National Wildlife Refuge to be administered by the Director, US Fish and Wildlife Service; this refuge is managed to protect the terrestrial and aquatic wildlife of Kingman Reef out to the 12-nautical-mile territorial sea limit 
				",4
Macau,"special administrative region of China 
				",1
"Man, Isle of","British crown dependency 
				",1
Martinique,"overseas department of France 
				",1
Mayotte,"territorial collectivity of France 
				",1
Midway Islands,"unincorporated territory of the US; formerly administered from Washington, DC, by the US Navy, under Naval Facilities Engineering Command, Pacific Division; this facility has been operationally closed since 10 September 1993; on 31 October 1996, through a presidential executive order, the jurisdiction and control of the atoll was transferred to the Fish and Wildlife Service of the US Department of the Interior as part of the National Wildlife Refuge system 
				",4
Montserrat,"overseas territory of the UK 
				",1
Navassa Island,"unincorporated territory of the US; administered from Washington, DC, by the Fish and Wildlife Service, US Department of the Interior; in September 1996, the Coast Guard ceased operations and maintenance of Navassa Island Light, a 46-meter-tall lighthouse on the southern side of the island; there has also been a private claim advanced against the island 
				",4
Netherlands Antilles,"part of the Kingdom of the Netherlands; full autonomy in internal affairs granted in 1954; Dutch Government responsible for defense and foreign affairs 
				",3
New Caledonia,"overseas territory of France since 1956 
				",1
Niue,"self-governing in free association with New Zealand since 1974; Niue fully responsible for internal affairs; New Zealand retains responsibility for external affairs and defense; however, these responsibilities confer no rights of control and are only exercised at the request of the Government of Niue 
				",4
Norfolk Island,"territory of Australia; Canberra administers Commonwealth responsibilities on Norfolk Island through the Department of Environment, Sport, and Territories 
				",2
Northern Mariana Islands,"commonwealth in political union with the US; federal funds to the Commonwealth administered by the US Department of the Interior, Office of Insular Affairs 
				",2
Palmyra Atoll,"incorporated territory of the US; privately owned, but administered from Washington, DC, by the Fish and Wildlife Service of the US Department of the Interior; the Office of Insular Affairs of the US Department of the Interior continues to administer nine excluded areas comprising certain tidal and submerged lands within the 12 NM territorial sea or within the lagoon 
				",3
Pitcairn Islands,"overseas territory of the UK 
				",1
Puerto Rico,"commonwealth associated with the US 
				",1
