Country,"population_below_poverty_line( migrant(s)/1,000 population)"
Afghanistan,53%
Albania,25%
Algeria,23%
American Samoa,NA
Andorra,NA
Angola,70%
Anguilla,23%
Antigua and Barbuda,NA
Argentina,44.3%
Armenia,50%
Aruba,NA
Australia,NA
Austria,3.9%
Azerbaijan,49%
"Bahamas, The",NA
Bahrain,NA
Bangladesh,45%
Barbados,NA
Belarus,27.1%
Belgium,4%
Belize,33%
Benin,33%
Bermuda,19%
Bhutan,NA
Bolivia,64%
Bosnia and Herzegovina,25%
Botswana,47%
Brazil,22%
British Virgin Islands,NA
Brunei,NA
Bulgaria,13.4%
Burkina Faso,45%
Burma,25%
Burundi,68%
Cambodia,40%
Cameroon,48%
Canada,NA
Cape Verde,30%
Cayman Islands,NA
Central African Republic,NA
Chad,80%
Chile,20.6%
China,10%
Colombia,55%
Comoros,60%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,NA
Costa Rica,18%
Cote d'Ivoire,37%
