Country,population_growth_rate
Afghanistan,"
      2.375%"
Albania,"
      0.267%"
Algeria,"
      1.173%"
American Samoa,"
      1.211%"
Andorra,"
      0.33%"
Angola,"
      2.034%"
Anguilla,"
      2.173%"
Antigua and Barbuda,"
      1.289%"
Argentina,"
      1.017%"
Armenia,"
      0.063%"
Aruba,"
      1.436%"
Australia,"
      1.148%"
Austria,"
      0.034%"
Azerbaijan,"
      0.846%"
"Bahamas, The","
      0.922%"
Bahrain,"
      2.814%"
Bangladesh,"
      1.566%"
Barbados,"
      0.366%"
Belarus,"
      -0.363%"
Belgium,"
      0.071%"
Belize,"
      2.056%"
Benin,"
      2.911%"
Bermuda,"
      0.594%"
Bhutan,"
      1.201%"
Bolivia,"
      1.694%"
Bosnia and Herzegovina,"
      0.008%"
Botswana,"
      1.656%"
Brazil,"
      1.134%"
British Virgin Islands,"
      1.741%"
Brunei,"
      1.712%"
Bulgaria,"
      -0.781%"
Burkina Faso,"
      3.085%"
Burma,"
      1.084%"
Burundi,"
      3.462%"
Cambodia,"
      1.698%"
Cameroon,"
      2.121%"
Canada,"
      0.794%"
Cape Verde,"
      1.446%"
Cayman Islands,"
      2.287%"
Central African Republic,"
      2.146%"
Chad,"
      2.009%"
Chile,"
      0.836%"
China,"
      0.493%"
Christmas Island,"
      0%"
Cocos (Keeling) Islands,"
      0%"
Colombia,"
      1.156%"
Comoros,"
      2.696%"
"Congo, Democratic Republic of the","
      2.614%"
"Congo, Republic of the","
      2.835%"
Cook Islands,"
      -3.2%"
Costa Rica,"
      1.308%"
Cote d'Ivoire,"
      2.078%"
Croatia,"
      -0.076%"
Cuba,"
      -0.104%"
Curacao,
Cyprus,"
      1.617%"
Czech Republic,"
      -0.12%"
Denmark,"
      0.251%"
Djibouti,"
      2.237%"
Dominica,"
      0.214%"
Dominican Republic,"
      1.331%"
Ecuador,"
      1.443%"
Egypt,"
      1.96%"
El Salvador,"
      0.318%"
Equatorial Guinea,"
      2.641%"
Eritrea,"
      2.472%"
Estonia,"
      -0.641%"
Ethiopia,"
      3.194%"
European Union,"
      0.098 %"
Falkland Islands (Islas Malvinas),"
      0.011%"
Faroe Islands,"
      0.428%"
Fiji,"
      0.798%"
Finland,"
      0.075%"
France,"
      0.5%"
French Polynesia,"
      1.331%"
Gabon,"
      1.999%"
"Gambia, The","
      2.396%"
Gaza Strip,"
      3.201%"
Georgia,"
      -0.326%"
Germany,"
      -0.208%"
Ghana,"
      1.822%"
Gibraltar,"
      0.273%"
Greece,"
      0.083%"
Greenland,"
      0.05%"
Grenada,"
      0.551%"
Guam,"
      1.314%"
Guatemala,"
      1.986%"
Guernsey,"
      0.438%"
Guinea,"
      2.645%"
Guinea-Bissau,"
      1.988%"
Guyana,"
      -0.44%"
Haiti,"
      0.787%"
Holy See (Vatican City),"
      0.004%"
Honduras,"
      1.888%"
Hong Kong,"
      0.448%"
Hungary,"
      -0.17%"
Iceland,"
      0.687%"
India,"
      1.344%"
Indonesia,"
      1.069%"
Iran,"
      1.248%"
Iraq,"
      2.399%"
Ireland,"
      1.061%"
Isle of Man,"
      0.921%"
Israel,"
      1.584%"
Italy,"
      0.42%"
Jamaica,"
      0.733%"
Japan,"
      -0.278%"
Jersey,"
      0.841%"
Jordan,"
      0.984%"
Kazakhstan,"
      0.4%"
Kenya,"
      2.462%"
Kiribati,"
      1.249%"
"Korea, North","
      0.538%"
"Korea, South","
      0.23%"
Kuwait,"
      1.986%"
Kyrgyzstan,"
      1.427%"
Laos,"
      1.684%"
Latvia,"
      -0.597%"
Lebanon,"
      0.244%"
Lesotho,"
      0.332%"
Liberia,"
      2.663%"
Libya,"
      2.064%"
Liechtenstein,"
      0.653%"
Lithuania,"
      -0.276%"
Luxembourg,"
      1.145%"
Macau,"
      0.879%"
Macedonia,"
      0.248%"
Madagascar,"
      2.973%"
Malawi,"
      2.763%"
Malaysia,"
      1.576%"
Maldives,"
      -0.151%"
Mali,"
      2.61%"
Malta,"
      0.375%"
Marshall Islands,"
      1.954%"
Mauritania,"
      2.349%"
Mauritius,"
      0.729%"
Mexico,"
      1.102%"
"Micronesia, Federated States of","
      -0.313%"
Moldova,"
      -0.072%"
Monaco,"
      -0.124%"
Mongolia,"
      1.489%"
Montenegro,"
      -0.705%"
Montserrat,"
      0.447%"
Morocco,"
      1.067%"
Mozambique,"
      2.444%"
Namibia,"
      0.873%"
Nauru,"
      0.611%"
Nepal,"
      1.596%"
Netherlands,"
      0.371%"
New Caledonia,"
      1.524%"
New Zealand,"
      0.882%"
Nicaragua,"
      1.088%"
Niger,"
      3.643%"
Nigeria,"
      1.935%"
Niue,"
      -0.032%"
Norfolk Island,"
      0.006%"
Northern Mariana Islands,"
      -4.004%"
Norway,"
      0.329%"
Oman,"
      2.023%"
Pakistan,"
      1.573%"
Palau,"
      0.363%"
Panama,"
      1.435%"
Papua New Guinea,"
      1.985%"
Paraguay,"
      1.284%"
Peru,"
      1.029%"
Philippines,"
      1.903%"
Pitcairn Islands,"
      0%"
Poland,"
      -0.062%"
Portugal,"
      0.212%"
Puerto Rico,"
      0.254%"
Qatar,"
      0.81%"
Romania,"
      -0.252%"
Russia,"
      -0.47%"
Rwanda,"
      2.792%"
"Saint Helena, Ascension, and Tristan da Cunha","
      0.377%"
Saint Kitts and Nevis,"
      0.823%"
Saint Lucia,"
      0.389%"
Saint Pierre and Miquelon,"
      -0.968%"
Saint Vincent and the Grenadines,"
      -0.327%"
Samoa,"
      0.6%"
San Marino,"
      1.043%"
Sao Tome and Principe,"
      2.052%"
Saudi Arabia,"
      1.536%"
Senegal,"
      2.557%"
