Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.049 male(s)/female 
			
15-64 years: 1.054 male(s)/female 
			
65 years and over: 0.943 male(s)/female 
			
total population: 1.049 male(s)/female (2007 est.) 
				", 1.05 , 1.049 , 1.054 , 0.943 , 1.049 
Albania,"birth: 1.1 male(s)/female 
			
under 15 years: 1.099 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.863 male(s)/female 
			
total population: 1.042 male(s)/female (2007 est.) 
				", 1.1 , 1.099 , 1.05 , 0.863 , 1.042 
Algeria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.016 male(s)/female 
			
65 years and over: 0.877 male(s)/female 
			
total population: 1.015 male(s)/female (2007 est.) 
				", 1.05 , 1.04 , 1.016 , 0.877 , 1.015 
American Samoa,"birth: 1.06 male(s)/female 
			
under 15 years: 1.075 male(s)/female 
			
15-64 years: 1.085 male(s)/female 
			
65 years and over: 0.568 male(s)/female 
			
total population: 1.062 male(s)/female (2007 est.) 
				", 1.06 , 1.075 , 1.085 , 0.568 , 1.062 
Andorra,"birth: 1.07 male(s)/female 
			
under 15 years: 1.09 male(s)/female 
			
15-64 years: 1.099 male(s)/female 
			
65 years and over: 0.975 male(s)/female 
			
total population: 1.079 male(s)/female (2007 est.) 
				", 1.07 , 1.09 , 1.099 , 0.975 , 1.079 
Angola,"birth: 1.05 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.035 male(s)/female 
			
65 years and over: 0.789 male(s)/female 
			
total population: 1.021 male(s)/female (2007 est.) 
				", 1.05 , 1.02 , 1.035 , 0.789 , 1.021 
Anguilla,"birth: 1.03 male(s)/female 
			
under 15 years: 1.029 male(s)/female 
			
15-64 years: 1.058 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 1.033 male(s)/female (2007 est.) 
				", 1.03 , 1.029 , 1.058 , 0.81 , 1.033 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
			
under 15 years: 1.037 male(s)/female 
			
15-64 years: 1.014 male(s)/female 
			
65 years and over: 0.594 male(s)/female 
			
total population: 1 male(s)/female (2007 est.) 
				", 1.05 , 1.037 , 1.014 , 0.594 , 1 
Argentina,"birth: 1.05 male(s)/female 
			
under 15 years: 1.047 male(s)/female 
			
15-64 years: 1.001 male(s)/female 
			
65 years and over: 0.695 male(s)/female 
			
total population: 0.974 male(s)/female (2007 est.) 
				", 1.05 , 1.047 , 1.001 , 0.695 , 0.974 
Armenia,"birth: 1.16 male(s)/female 
			
under 15 years: 1.133 male(s)/female 
			
15-64 years: 0.876 male(s)/female 
			
65 years and over: 0.665 male(s)/female 
			
total population: 0.894 male(s)/female (2007 est.) 
				", 1.16 , 1.133 , 0.876 , 0.665 , 0.894 
Aruba,"birth: 1.02 male(s)/female 
			
under 15 years: 1.019 male(s)/female 
			
15-64 years: 0.915 male(s)/female 
			
65 years and over: 0.668 male(s)/female 
			
total population: 0.906 male(s)/female (2007 est.) 
				", 1.02 , 1.019 , 0.915 , 0.668 , 0.906 
Australia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.049 male(s)/female 
			
15-64 years: 1.017 male(s)/female 
			
65 years and over: 0.794 male(s)/female 
			
total population: 0.99 male(s)/female (2007 est.) 
				", 1.05 , 1.049 , 1.017 , 0.794 , 0.99 
Austria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.012 male(s)/female 
			
65 years and over: 0.692 male(s)/female 
			
total population: 0.953 male(s)/female (2007 est.) 
				", 1.05 , 1.05 , 1.012 , 0.692 , 0.953 
Azerbaijan,"birth: 1.15 male(s)/female 
			
under 15 years: 1.114 male(s)/female 
			
15-64 years: 0.963 male(s)/female 
			
65 years and over: 0.599 male(s)/female 
			
total population: 0.968 male(s)/female (2007 est.) 
				", 1.15 , 1.114 , 0.963 , 0.599 , 0.968 
"Bahamas, The","birth: 1.02 male(s)/female 
			
under 15 years: 1.002 male(s)/female 
			
15-64 years: 0.968 male(s)/female 
			
65 years and over: 0.691 male(s)/female 
			
total population: 0.956 male(s)/female (2007 est.) 
				", 1.02 , 1.002 , 0.968 , 0.691 , 0.956 
Bahrain,"birth: 1.03 male(s)/female 
			
under 15 years: 1.021 male(s)/female 
			
15-64 years: 1.372 male(s)/female 
			
65 years and over: 1.084 male(s)/female 
			
total population: 1.255 male(s)/female (2007 est.) 
				", 1.03 , 1.021 , 1.372 , 1.084 , 1.255 
Bangladesh,"birth: 1.06 male(s)/female 
			
under 15 years: 1.061 male(s)/female 
			
15-64 years: 1.042 male(s)/female 
			
65 years and over: 1.154 male(s)/female 
			
total population: 1.052 male(s)/female (2007 est.) 
				", 1.06 , 1.061 , 1.042 , 1.154 , 1.052 
Barbados,"birth: 1.01 male(s)/female 
			
under 15 years: 1.003 male(s)/female 
			
15-64 years: 0.967 male(s)/female 
			
65 years and over: 0.627 male(s)/female 
			
total population: 0.938 male(s)/female (2007 est.) 
				", 1.01 , 1.003 , 0.967 , 0.627 , 0.938 
Belarus,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 0.945 male(s)/female 
			
65 years and over: 0.481 male(s)/female 
			
total population: 0.873 male(s)/female (2007 est.) 
				", 1.06 , 1.06 , 0.945 , 0.481 , 0.873 
Belgium,"birth: 1.05 male(s)/female 
			
under 15 years: 1.043 male(s)/female 
			
15-64 years: 1.018 male(s)/female 
			
65 years and over: 0.703 male(s)/female 
			
total population: 0.959 male(s)/female (2007 est.) 
				", 1.05 , 1.043 , 1.018 , 0.703 , 0.959 
