Country,Country_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,3.439153,6.138107,6.024096,9.090909,15.41667,15.16245,13.32288,12.30982,8.004926,9.122006,10.13584,9.487666,11.35182,10.03891,3.960396,6.734694,9.05035,8.533022,7.21594,7.533903,7.333022,3.176675,1.012231,1.753653,1.969635,4.627767,2.615385,0.2248875,0.8601346,1.483129,4.457435,4.407135,2.981575,2.732596,2.343255,2.691832,3.555288,2.327611,4.350298,1.771117,2.91834,3.30385,1.76278,2.449889,2.487923,1.508367,1.276991
Austria,AUT,4.372826,4.704262,6.355141,7.531081,9.521791,8.445255,7.318689,5.49461,3.574322,3.707406,6.328318,6.803043,5.436026,3.339167,5.663189,3.189511,1.705446,1.401955,1.91572,2.568347,3.261872,3.337426,4.020847,3.631786,2.953407,2.243364,1.860974,1.305983,0.9224669,0.5689865,2.344868,2.65,1.810359,1.355554,2.061207,2.299138,1.441547,2.168556,3.215951,0.5063094,1.813532,3.286583,2.485675,2.000158,1.605806,0.8965653,0.8915924
Belgium,BEL,3.90847,4.343628,5.448432,6.955278,12.67789,12.7682,9.068606,7.095997,4.470595,4.469084,6.64869,7.627487,8.726549,7.66161,6.341776,4.86873,1.294371,1.55338,1.160936,3.107053,3.44831,3.215311,2.427956,2.754426,2.377545,1.467961,2.077025,1.62816,0.9492503,1.120848,2.544518,2.469258,1.645214,1.588964,2.097283,2.781433,1.791208,1.823056,4.489444,-0.05314567,2.189299,3.532082,2.839664,1.113096,0.3400028,0.5614291,1.973853
Canada,CAN,3.34604,2.704918,4.988029,7.487647,10.99717,10.67219,7.541739,7.976445,8.973723,9.144677,10.12922,12.47161,10.76897,5.863588,4.304778,3.962031,4.194786,4.356109,4.028234,4.983622,4.780477,5.625864,1.490133,1.865079,0.1655629,2.14876,1.570531,1.621216,0.9959425,1.734843,2.71944,2.52512,2.258394,2.758563,1.857259,2.213552,2.002025,2.138384,2.370271,0.2994668,1.776872,2.912135,1.515678,0.9382919,1.906636,1.125241,1.42876
Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0865,20.81303,10.03942,8.990531,8.758775,8.596157,10.69837,2.135448,3.775388,4.662675,1.902981,0.1187392,2.760108,1.857098,2.533993,2.853124,6.358664,1.019377,1.472727,1.917219,3.287623,1.438298,0.3439886,0.3093646,0.6835042
Denmark,DNK,6.514837,5.869877,6.562348,9.303389,15.2752,9.605614,9.010302,10.92224,10.21365,9.611055,12.30532,11.76739,10.12082,6.908229,6.290782,4.678746,3.678187,4.01999,4.535135,4.772727,2.6416,2.395153,2.096042,1.257862,1.992014,2.083605,2.1263,2.182167,1.845651,2.497795,2.903277,2.337875,2.424437,2.075078,1.154357,1.817815,1.924221,1.693266,3.416268,1.30471,2.310924,2.758682,2.397915,0.7890718,0.5640205,0.4520341,0.25
Finland,FIN,2.740442,6.475761,6.662487,10.75448,16.93639,17.81139,14.3427,11.79335,7.79935,7.466955,11.59462,11.30575,9.58493,8.366291,7.067658,5.195623,2.933578,4.113027,5.085932,6.592911,6.149561,4.310215,2.919323,2.190654,1.088558,0.7912362,0.6291981,1.192557,1.399471,1.162237,3.042096,2.578441,1.571221,0.8774385,0.1871234,0.6238712,1.566667,2.510666,4.065952,-0.0000000000000122217,1.184135,3.416809,2.808332,1.478288,1.0412,-0.207932,0.3566845
France,FRA,5.299646,5.397514,6.063004,7.380597,13.64932,11.68593,9.625493,9.494556,9.250559,10.64674,13.56258,13.3144,11.97848,9.459548,7.673803,5.831099,2.538527,3.288898,2.700817,3.498302,3.194282,3.213407,2.36376,2.104463,1.655515,1.796481,1.982884,1.203943,0.6511269,0.5371416,1.67596,1.634781,1.923412,2.098472,2.14209,1.745869,1.675125,1.487998,2.812862,0.08762048,1.531123,2.111598,1.954195,0.8637155,0.5077588,0.03751438,0.1833349
Germany,DEU,3.450237,5.240975,5.484938,7.032024,6.986428,5.910336,4.246631,3.734169,2.718691,4.043622,5.441055,6.344242,5.241046,3.293413,2.405797,2.066233,-0.1294139,0.2499074,1.274121,2.780563,2.69647,4.047034,5.05698,4.474576,2.693056,1.706161,1.449726,1.939369,0.9111845,0.5854336,1.440268,1.983857,1.420807,1.034223,1.665736,1.546911,1.577429,2.298341,2.628383,0.3127377,1.103809,2.075173,2.008491,1.504722,0.9067971,0.2344299,0.4833554
Greece,GRC,2.841678,3.289474,4.33121,15.38461,26.56085,13.62876,13.02428,12.36979,12.57242,19.09418,24.67589,24.50607,20.99109,20.17948,18.45683,19.31469,23.01544,16.39687,13.52886,13.65556,20.43349,19.45585,15.87707,14.41127,10.87408,8.934514,8.194549,5.536003,4.766226,2.636638,3.151177,3.373966,3.629363,3.530651,2.898848,3.545073,3.195946,2.895001,4.152796,1.210074,4.712982,3.32987,1.50152,-0.922165,-1.311209,-1.736046,-0.8256576
