Country,Country_code,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,BUPPSRY,41.212311,41.076141,39.050316,37.519817,35.879036,34.967968,33.289845,31.816732,30.064018,28.972523,26.792744,25.922543,23.563389,24.28443,22.895836,20.980896,20.067352
Australia,AUS,TRY,27.475746,28.977322,30.759785,31.314152,30.82308,31.691153,33.022213,33.73671,36.149986,36.881355,37.604309,38.342072,41.282364,39.539928,41.901855,42.888756,43.7439
Australia,AUS,UPPSRY,31.311945,29.946537,30.189898,31.166031,33.297886,33.340881,33.687943,34.44656,33.785992,34.146122,35.602947,35.735386,35.154247,36.17564,35.202309,36.130348,36.188747
Austria,AUT,BUPPSRY,0,0,0,0,23.66626,23.055067,19.871609,20.062889,19.120087,18.354979,17.647495,17.636829,17.08353,17.028002,16.143999,15.351305,15.471591
Austria,AUT,TRY,0,0,0,0,24.783438,24.639351,25.356432,25.092672,26.191858,26.895824,27.743721,27.956152,28.739943,29.738844,29.904896,30.550726,31.383963
Austria,AUT,UPPSRY,0,0,0,0,51.550304,52.305584,54.771961,54.844437,54.688057,54.749195,54.608784,54.407017,54.176529,53.233154,53.951103,54.097969,53.144444
Belgium,BEL,BUPPSRY,41.47678,40.536442,39.196617,37.952141,35.708241,33.903755,33.057926,32.046577,30.423817,29.427107,29.500488,28.733294,28.356371,27.241648,26.44935,25.322903,24.905834
Belgium,BEL,TRY,27.084993,27.626753,28.134819,29.031809,30.40086,31.045088,31.754845,32.094864,32.310043,33.397053,34.989502,34.612984,35.316551,35.535332,36.855022,36.857422,37.503956
Belgium,BEL,UPPSRY,31.438227,31.836805,32.668564,33.016048,33.8909,35.051159,35.187229,35.858559,37.26614,37.175842,35.51001,36.653725,36.32708,37.223022,36.695625,37.819675,37.59021
Canada,CAN,BUPPSRY,19.332481,18.011751,17.321903,16.267523,15.686501,14.816504,14.457152,13.494848,13.003522,12.468069,11.736887,11.368477,11.035321,10.45779,10.011459,9.5978909,9.3911886
Canada,CAN,TRY,40.105782,41.881519,42.873188,44.123833,44.548969,45.976749,46.881516,48.181564,48.706802,49.290722,50.311695,51.033012,52.305416,52.971439,53.61496,55.17366,56.265068
Canada,CAN,UPPSRY,40.561737,40.106728,39.804909,39.608646,39.76453,39.206749,38.661331,38.323586,38.289677,38.241207,37.95142,37.598511,36.659264,36.57077,36.373581,35.228447,34.343746
Czech Republic,CZE,BUPPSRY,14.05798,13.791635,12.072922,13.580705,10.923604,10.074598,9.7202902,9.4652252,9.096694,8.5971041,8.0573692,7.6677351,7.5491762,7.1797996,6.8099089,6.841207,6.5732007
Czech Republic,CZE,TRY,10.963162,11.131626,11.94141,12.005664,12.345678,13.058269,13.522043,13.732669,14.498895,15.544437,16.764982,18.243177,19.277992,20.45986,21.51013,22.186741,22.971544
Czech Republic,CZE,UPPSRY,74.978859,75.076736,75.985672,74.413628,76.730721,76.867134,76.757668,76.802109,76.404411,75.858459,75.17765,74.089088,73.172829,72.360344,71.679962,70.972054,70.455254
Denmark,DNK,BUPPSRY,20.218884,19.33378,18.908283,19.446814,18.778183,18.983217,18.359888,25.721992,26.203114,25.244347,24.37451,23.103144,22.10408,21.733091,20.446318,19.62863,19.254272
Denmark,DNK,TRY,25.777601,28.41186,29.61084,31.847263,32.848095,33.544121,34.719662,30.903458,31.414381,32.449905,33.262753,33.702026,34.782349,35.42934,35.800922,37.095581,38.169136
Denmark,DNK,UPPSRY,54.003513,52.25436,51.480877,48.705925,48.373722,47.472664,46.920448,43.37455,42.382504,42.305748,42.362736,43.194832,43.113571,42.83757,43.752758,43.275791,42.576591
Finland,FIN,BUPPSRY,26.837576,0,0,23.959745,22.375042,21.212481,20.363401,19.490316,18.926767,18.026873,17.01717,16.27569,15.202716,14.109433,13.493114,12.847135,12.091855
Finland,FIN,TRY,32.614372,0,0,33.177582,34.184566,34.629433,35.141739,36.357056,36.583557,37.268574,38.146343,39.318207,39.661289,40.545231,41.776676,42.742619,43.595264
Finland,FIN,UPPSRY,40.54805,0,0,42.862675,43.440392,44.158085,44.494862,44.152626,44.489677,44.704552,44.836487,44.406101,45.135994,45.345337,44.730209,44.410244,44.312881
France,FRA,BUPPSRY,37.759026,36.132778,35.226971,34.777859,34.187824,33.189934,32.571041,31.532801,30.401829,29.745792,29.233322,28.385553,27.465466,25.153784,22.681496,22.467602,21.89171
France,FRA,TRY,21.58481,23.020861,23.98011,23.917387,24.383652,25.425774,26.183411,26.646099,27.233906,28.588057,29.006897,29.767,30.856123,32.105263,33.539047,34.085361,34.582485
France,FRA,UPPSRY,40.656166,40.846359,40.792923,41.304752,41.428524,41.384293,41.245548,41.821098,42.364265,41.666153,41.759781,41.847446,41.67841,42.740952,43.779457,43.447037,43.525806
Germany,DEU,BUPPSRY,18.273834,17.3916,17.012363,16.622698,16.099459,16.892855,16.763083,15.584911,14.668834,14.520243,14.189683,13.74963,13.699094,13.679199,13.096583,13.208749,13.523512
Germany,DEU,TRY,23.498837,23.222008,23.427382,23.982014,24.931704,24.552816,23.947578,24.299988,25.400061,26.385326,26.609148,27.562323,28.121572,28.47327,27.057884,27.638235,28.291723
Germany,DEU,UPPSRY,58.227329,59.386391,59.560257,59.395287,58.968838,58.554329,59.289337,60.115101,59.931107,59.094433,59.201168,58.688049,58.179337,57.84753,59.845531,59.153015,58.184765
Greece,GRC,BUPPSRY,50.712349,49.770618,48.158752,46.452507,43.350311,42.286209,40.75304,39.922272,38.692974,38.5051,37.26366,35.445217,34.217484,32.80518,31.733679,29.780088,28.349747
Greece,GRC,TRY,17.672335,18.067701,18.793383,19.299871,21.286716,21.472097,22.428827,22.893152,23.535585,23.656685,24.744848,26.112072,26.719267,27.423178,28.105659,29.057495,30.231607
Greece,GRC,UPPSRY,31.615318,32.161682,33.047863,34.24762,35.362972,36.241695,36.81813,37.184578,37.771439,37.838215,37.991489,38.442711,39.063248,39.771641,40.160664,41.162418,41.418648
Hungary,HUN,BUPPSRY,30.781889,29.98584,28.577425,25.927795,24.64992,23.609816,21.9265,20.79417,20.296638,19.425785,18.707645,18.232164,17.879883,17.505869,16.905603,16.783051,16.637701
Hungary,HUN,TRY,14.041859,13.984717,14.211662,15.416001,16.748745,17.083904,17.699047,18.048761,19.197906,19.86219,20.121918,21.124001,22.046715,22.505821,23.356073,24.242552,23.713329
Hungary,HUN,UPPSRY,55.17625,56.029442,57.210911,58.6562,58.601334,59.306282,60.374454,61.157066,60.505455,60.712025,61.170437,60.643833,60.073402,59.988312,59.738323,58.9744,59.648968
Iceland,ISL,BUPPSRY,0,0,0,34.262501,33.643612,31.825998,31.31949,30.819305,30.940493,30.005922,29.282291,29.195244,29.207808,27.830322,26.74341,25.303907,22.001961
Iceland,ISL,TRY,0,0,0,27.861868,27.94356,29.471401,30.411818,30.804794,31.591888,32.907246,32.632442,33.774651,35.01783,36.08242,37.088051,38.841152,40.475002
