Country,Country_code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,8.518,8.565,8.577,8.606,8.683,8.759,9.08,9.24,9.29,9.479,9.686,9.734,10.002,10.335,10.593,10.922,11.342,11.918,12.589,0,0,0
Belgium,BEL,9.106,8.586,8.649,8.733,8.751,8.854,9.057,9.205,9.031,9.114,9.1,9,8.967,8.861,8.7,8.8,8.4,8.231,8.227,8.291,8.357,8.593,8.837,9.142,9.461,9.796,10.249,10.634,10.798,10.917,0,0,0
Denmark,DNK,2.108,2.286,2.503,2.655,2.768,2.934,3.122,3.284,3.48,3.64,3.8,4.2,4.7,4.7,4.8,4.88,4.8,4.977,4.937,5.031,4.951,4.983,5.115,5.465,5.828,5.974,6.238,6.442,6.701,7.076,0,0,0
Finland,FIN,0.343,0.347,0.351,0.359,0.377,0.426,0.525,0.8,0.904,1.1,1.2,1.3,1.4,1.6,1.6,1.7,1.758,1.9,1.994,2.053,2.072,2.17,2.311,2.509,2.696,2.916,3.132,3.399,3.611,3.815,0,0,0
Germany,DEU,7.148,7.176,7.381,6.924,7.274,7.731,8.4,7.3,8,8.5,8.6,8.8,8.9,9,8.9,8.934,8.883,8.895,8.896,8.89,8.143,8.192,8.196,8.2,8.191,8.174,8.265,8.478,8.807,9.297,0,0,0
Hungary,HUN,0,0,0,0,0,0,0,0,0,0,1.346,1.37,1.398,1.413,1.4,1.496,1.078,1.143,1.141,1.284,1.406,1.531,1.649,1.737,1.837,1.974,2.092,1.438,1.425,1.42,0,0,0
Ireland,IRL,2.477,2.275,2.215,2.213,2.357,2.26,2.321,2.528,2.69,2.69,2.69,2.69,3.2,3.125,2.992,3.148,0,0,5.598,0,0,0,9.762,11.874,12.834,12.692,12.297,11.738,12.003,0,0,0,0
Italy,ITA,0.708,0.739,0.786,0.997,1.122,0.852,1.353,1.546,1.6,1.7,1.6,1.7,2,2.1,2.1,2.17,2.413,2.526,2.696,3.462,4.174,4.594,5.029,5.83,6.558,7.088,7.611,7.999,7.251,8.113,0,0,0
Japan,JPN,0.7,0.7,0.71,0.72,0.77,0.8,0.87,0.98,1.03,1.06,1.1,1.1,1.124,1.175,1.194,1.229,1.329,1.397,1.453,1.501,1.546,1.574,1.63,1.684,1.735,1.713,1.666,1.626,1.595,1.623,0,0,0
Korea (Republic of),KOR,0,0,0.101,0.103,0.107,0.111,0.115,0.118,0.128,0.151,0.19,0.244,0.327,0.3,0.3,0.361,0.445,0.485,0.57,0.962,1.023,1.061,1.366,1.647,1.829,1.872,2.029,1.974,1.866,1.963,0,0,0
Luxembourg,LUX,26.461,26.688,26.3,26.8,27.4,27.9,29.4,30.2,31.047,31.8,32.6,33.4,34.138,34.86,35.6,36,37.3,37.762,38.259,39.359,40.102,41.132,41.947,42.894,44.103,43.462,43.499,44.347,44.985,45.81,0,0,0
Netherlands,NLD,3.865,3.803,3.886,4.022,4.213,4.31,4.613,4.8,5,5.1,5,4.682,4.368,4.3,4.22,4.1,4.2,4.303,4.334,4.328,4.295,4.236,4.172,4.202,4.375,4.448,4.576,4.709,4.752,4.856,0,0,0
Norway,NOR,2.359,2.359,2.44,2.617,2.947,3.22,3.314,3.372,3.5,3.6,3.8,3.8,3.7,3.6,3.6,3.7,3.99,4.117,4.356,4.486,4.645,4.808,5.113,5.654,6.354,6.914,7.552,8.223,8.941,9.511,0,0,0
Portugal,PRT,0,0,0,0,0.958,1.031,1.092,1.157,1.254,1.331,1.585,1.7,1.7,1.76,1.781,1.9,2.074,3.505,3.967,4.152,4.285,3.96,3.993,4.133,4.173,4.298,4.211,4.138,3.966,3.743,0,0,0
Slovakia,SVK,0,0,0,0,0,0,0,0,0,0.206,0.316,0.408,0.45,0.461,0.527,0.548,0.533,0.547,0.548,0.543,0.414,0.476,0.598,0.761,0.977,1.167,1.261,1.31,1.349,1.092,0,0,0
Sweden,SWE,4.682,4.65,4.663,4.766,4.977,5.348,5.631,5.713,5.742,5.804,6.096,6.018,5.954,5.9,5.646,5.498,5.373,5.298,5.264,5.306,5.342,5.308,5.414,5.73,6.093,6.479,6.751,6.932,7.009,7.235,0,0,0
Switzerland,CHE,14.442,14.49,14.656,14.903,15.204,15.587,16.298,17.1,17.6,18.1,18.6,18.9,18.9,19,19,19.2,19.3,19.637,19.868,20.044,20.231,20.33,20.358,20.804,21.431,21.697,21.978,22.399,22.822,23.322,0,0,0
United Kingdom of Great Britain and Northern Ireland,GBR,2.832,3.053,3.202,3.226,3.186,3.2,3.2,3.1,3.5,3.5,3.554,3.393,3.356,3.57,3.798,3.787,4.009,4.376,4.353,4.598,4.766,5.024,5.576,6.236,6.771,6.984,7.209,7.561,7.516,7.708,0,0,0
United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.504,7.124,7.113,7.212,7.16,7.271,7.251,7.131,7.054,7.261,7.133,7.046,6.964,0,0,0
Slovenia,SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,3.406,3.479,4.886,4.671,4.966,5.025,5.385,0,0,0
Czech Republic,CZE,0,0,0,0,0,0,0,0,0.399,0.752,1.004,1.537,1.927,2,2.135,2.19,1.93,2.059,2.27,2.357,2.491,2.719,3.131,3.801,4.195,4.122,4.034,4.136,4.148,4.178,0,0,0
France,FRA,0,0,0,0,0,0,6.349,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,5.789,6.002,6.021,6.057,6.103,6.079,6.157,6.354,0,0,0,0
Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0.144,0.151,0.159,0.13,0,0.144,0,0,0,0,0
Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857,6.432,7.191,8.704,9.491,10.188,11.647,12.284,12.396,12.352,12.274,11.859,10.728,0,0,0
Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.805,2.62,2.906,3.249,3.977,4.291,4.824,4.986,5.127,5.761,6.558,7.506,7.262,6.809,6.925,6.211,0,0,0
Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.069,19.537,19.687,19.459,18.953,18.146,17.306,16.68,16.354,16.321,15.903,15.948,16.063,0,0,0
Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.455,3.554,3.519,3.635,4.657,6.1,7.521,7.634,6.798,6.649,6.569,6.687,7.025,0,0,0
Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.057,0,0,0,0,5.399,0,0,0,0,5.675,0,0,0,0,0
