LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2004,60230.6244,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2005,67992.4428,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2006,71773.6408,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2007,77633.5651,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2008,78207.9561,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2009,70897.7752,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2010,80750.3778,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2011,84100.5614,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2012,80645.4485,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2013,77806.5349,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2014,72376.2865,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2015,71972.3043,
ARG,TRADEGOODSERV,EXP,MLN_USD,A,2016,74612.1602,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2004,35493.5338,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2005,41118.6313,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2006,45638.3349,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2007,54601.8336,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2008,62007.0364,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2009,50587.5481,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2010,68396.5997,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2011,83463.4243,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2012,79517.054,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2013,82604.6065,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2014,73121.6019,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2015,77296.3715,
ARG,TRADEGOODSERV,IMP,MLN_USD,A,2016,81732.4955,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2004,24737.0906,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2005,26873.8115,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2006,26135.3059,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2007,23031.7316,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2008,16200.9197,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2009,20310.2271,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2010,12353.7781,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2011,637.137,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2012,1128.3945,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2013,-4798.0716,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2014,-745.3154,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2015,-5324.0672,
ARG,TRADEGOODSERV,NTRADE,MLN_USD,A,2016,-7120.3354,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1970,9.6729472557,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1971,7.48965755,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1972,2.0125618068,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1973,-6.0443303291,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1974,9.7822146622,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1975,3.9091671112,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1976,7.1428571429,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1977,2.2518822724,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1978,7.0977530848,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1979,7.0648777032,
AUS,TRADEGOODSERV,EXP,AGRWTH,A,1980,-4.8531786958,
