Country,Country_code,Subject,Measure,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,ARG,EXP,MLN_USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60230.6244,67992.4428,71773.6408,77633.5651,78207.9561,70897.7752,80750.3778,84100.5614,80645.4485,77806.5349,72376.2865,71972.3043,74612.1602
Argentina,ARG,IMP,MLN_USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35493.5338,41118.6313,45638.3349,54601.8336,62007.0364,50587.5481,68396.5997,83463.4243,79517.054,82604.6065,73121.6019,77296.3715,81732.4955
Argentina,ARG,NTRADE,MLN_USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24737.0906,26873.8115,26135.3059,23031.7316,16200.9197,20310.2271,12353.7781,637.137,1128.3945,-4798.0716,-745.3154,-5324.0672,-7120.3354
Australia,AUS,EXP,MLN_USD,40413.3767,43440.2002,44314.4611,41635.9487,45708.8665,47495.7025,50888.2527,52034.1962,55727.455,59664.5316,56768.9052,58108.7419,58410.6116,62868.9937,72574.1022,75321.1158,82871.3396,89874.7149,90807.0276,95047.1348,105746.091,115744.9418,124321.5223,136118.8195,142126.025,156281.3884,173290.5808,181225.1078,184696.6085,202966.6871,220507.6344,219298.9949,220391.5307,223233.7494,230954.6456,237817.5354,247666.6125,257594.6401,263789.9336,276182.8428,278558.3245,291379.6564,306833.0591,325098.4936,347146.5866,370979.1936,391298.5025
Australia,AUS,EXP,PC_GDP,12.6612743152,12.8257594496,14.1550216146,13.1519989379,14.2814973082,13.523127396,14.0229047371,13.628173472,14.3119823209,16.4394672223,14.9120673219,13.5410377627,13.594733224,13.5802179773,15.2599876551,15.0137418078,15.4943135477,15.9841455057,15.1458682452,15.1435630573,16.0590439018,16.691403966,17.5736634128,18.0058916739,17.916884871,18.9391943503,19.174811045,19.5955769201,18.3539555438,19.4434818925,22.2351816064,20.7831361257,19.1030041417,17.2197648262,18.2853024685,19.9081266904,20.2305682651,20.1886986631,23.0385074489,19.8425192001,21.4728411936,21.5189738108,19.9877174385,21.0757650197,20.0129640731,19.2530266256,21.2703536283
Australia,AUS,IMP,MLN_USD,23441.8798,21572.5532,21844.2767,28471.2196,29203.7272,27772.2683,30415.8432,28990.9317,31330.0454,31361.1462,34327.1882,38298.2796,35065.4249,37165.5528,43349.7174,43248.2303,41202.9382,45827.9666,57230.5317,60445.3806,56990.7275,58984.4577,62874.5231,67590.3988,78636.9407,82322.3951,90467.5521,99737.2515,104836.1591,117467.209,116322.2055,117891.1631,133449.7881,151464.5641,170396.8162,184257.1694,203723.8655,233146.1174,225162.1938,241236.4386,266004.1981,296226.07,297037.9667,290108.1993,292677.2958,292283.6241,305964.738
Australia,AUS,IMP,PC_GDP,12.9366812227,11.9735569896,11.0204081633,13.2167217087,14.7355252246,13.3837261005,14.6538261322,14.593919518,15.360414312,15.9126423097,16.744354229,16.8337415276,15.627412617,15.00902379,17.3096651981,18.0861409544,17.0940111104,16.6447494335,16.9791507976,17.0703629801,16.1917214062,16.4189385923,17.8946157594,18.5214131429,19.8846667893,19.3931375912,18.9000001801,20.4748536381,20.8021606935,21.6041545927,22.1489118374,20.791226923,21.2098502675,19.936527496,21.0293134437,21.7258081848,21.8769841818,22.7390989652,22.8264756791,20.8738652538,20.5050985738,21.7681052913,21.2858616243,21.5040832799,21.5344232529,21.5184465692,20.6226164343
Australia,AUS,NTRADE,MLN_USD,16971.4969,21867.647,22470.1844,13164.729,16505.1393,19723.4343,20472.4095,23043.2645,24397.4096,28303.3853,22441.7171,19810.4624,23345.1867,25703.441,29224.3848,32072.8855,41668.4014,44046.7483,33576.4959,34601.7542,48755.3635,56760.4842,61446.9992,68528.4207,63489.0844,73958.9934,82823.0287,81487.8563,79860.4494,85499.4781,104185.4289,101407.8318,86941.7427,71769.1852,60557.8294,53560.3661,43942.747,24448.5227,38627.7398,34946.4041,12554.1264,-4846.4136,9795.0925,34990.2943,54469.2909,78695.5695,85333.7646
Austria,AUT,EXP,MLN_USD,25244.8672,26862.5795,29587.8147,31197.6047,34539.1867,33710.525,37438.7101,38335.1111,41681.217,46401.2877,48109.5832,50458.9882,50416.1394,51214.7057,55475.9198,60443.4559,57994.1414,59984.4009,64937.276,71784.3086,77937.8178,80227.0823,81285.5868,79356.5488,83870.4198,89913.6135,94084.2394,104459.6746,112661.3187,119909.907,136127.2196,143946.0124,149844.4824,150446.6849,163658.0308,174313.8334,187316.8076,201151.5336,205695.3822,174825.5646,199022.1239,210909.7208,214391.3943,215547.1268,220460.7945,228305.3738,232060.2231
Austria,AUT,EXP,PC_GDP,27.391757082,27.0353547405,26.9306664996,26.9193669892,29.1143697688,28.0946358199,28.7525264004,27.9539568497,29.1150929838,30.8807752564,31.6930717643,33.0006616186,31.7414964407,30.4781988393,32.7510176411,34.9213214317,31.9977146539,31.406204906,33.0709262118,35.0152027657,35.6974146363,34.5904881001,33.155267655,31.4638980457,32.1585338843,33.5331403455,34.2492761074,37.0280827385,38.3510211865,39.3570378853,43.346273952,44.6058108221,45.2228065847,44.4143653095,46.75306107,48.4267855838,50.5760769788,52.1836957987,52.823522968,44.6066299172,50.7848450053,53.4125481985,53.5374744895,52.9671989335,52.5951336118,52.35213807,51.6148286829
Austria,AUT,IMP,MLN_USD,29271.813,31112.284,34891.2612,38224.456,40864.0059,38964.3438,45750.9651,49612.9913,49112.7436,54144.7821,57235.208,56888.1725,54823.7334,57113.671,60907.911,64280.9574,62004.6123,64381.2674,70460.4476,77618.0761,83812.255,88098.7202,89962.986,85024.4932,93808.8231,99348.1246,103480.6071,110996.7556,117380.1504,122137.1519,134584.9273,141557.7705,141970.5406,146951.105,158699.7035,167344.659,177156.2205,187107.6412,188827.4991,166132.9165,186050.9889,197592.1561,199752.7427,201054.0692,203689.0381,210577.7141,217078.1482
Austria,AUT,IMP,PC_GDP,27.4454458349,27.3220317697,27.3422510447,27.5142061452,30.4276533284,28.4804348886,31.1374469416,32.2963514311,30.5271022132,32.409061261,35.10227609,35.3660076332,32.3482861641,31.9669770054,33.7954343935,35.1321566567,31.9898540263,31.4209700573,33.4633507011,35.4931675653,35.7607402769,35.4279843784,34.4457962845,31.7743061282,33.8000015428,34.6941473738,35.8003368889,37.8003437405,38.5332448571,38.8560336694,41.9633056076,42.8621497383,41.5712389103,41.7556856768,43.8648868368,45.3402367009,47.1603395433,48.0560728003,48.6648081775,41.6411769284,47.4749763972,50.9048986314,50.9563756241,50.3963938153,49.3213468386,48.3973920296,48.0452617589
Austria,AUT,NTRADE,MLN_USD,-4026.9457,-4249.7045,-5303.4465,-7026.8512,-6324.8192,-5253.8188,-8312.255,-11277.8802,-7431.5266,-7743.4944,-9125.6248,-6429.1843,-4407.594,-5898.9653,-5431.9912,-3837.5015,-4010.4709,-4396.8665,-5523.1715,-5833.7675,-5874.4372,-7871.6379,-8677.3992,-5667.9444,-9938.4034,-9434.5111,-9396.3677,-6537.081,-4718.8316,-2227.2449,1542.2923,2388.2419,7873.9418,3495.58,4958.3273,6969.1745,10160.5871,14043.8923,16867.8831,8692.648,12971.135,13317.5647,14638.6516,14493.0576,16771.7564,17727.6597,14982.0749
