"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","TOT","NBR","A","2003",125862.418,
"AUS","IMMIGINFLOW","TOT","NBR","A","2004",149990.596,
"AUS","IMMIGINFLOW","TOT","NBR","A","2005",167319.197,
"AUS","IMMIGINFLOW","TOT","NBR","A","2006",179806.822,
"AUS","IMMIGINFLOW","TOT","NBR","A","2007",191905.255,
"AUS","IMMIGINFLOW","TOT","NBR","A","2008",205938.935,
"AUS","IMMIGINFLOW","TOT","NBR","A","2009",220981,
"AUS","IMMIGINFLOW","TOT","NBR","A","2010",208489,
"AUS","IMMIGINFLOW","TOT","NBR","A","2011",219478,
"AUS","IMMIGINFLOW","TOT","NBR","A","2012",245080,
"AUS","IMMIGINFLOW","TOT","NBR","A","2013",253492,
"AUS","IMMIGINFLOW","TOT","NBR","A","2014",231380,
"AUT","IMMIGINFLOW","TOT","NBR","A","2003",51943,
"AUT","IMMIGINFLOW","TOT","NBR","A","2004",57140,
"AUT","IMMIGINFLOW","TOT","NBR","A","2005",56813,
"AUT","IMMIGINFLOW","TOT","NBR","A","2006",30788,
"AUT","IMMIGINFLOW","TOT","NBR","A","2007",47119,
"AUT","IMMIGINFLOW","TOT","NBR","A","2008",49529,
"AUT","IMMIGINFLOW","TOT","NBR","A","2009",45689,
"AUT","IMMIGINFLOW","TOT","NBR","A","2010",45914,
"AUT","IMMIGINFLOW","TOT","NBR","A","2011",55197,
"AUT","IMMIGINFLOW","TOT","NBR","A","2012",70815,
"AUT","IMMIGINFLOW","TOT","NBR","A","2013",70753,
"AUT","IMMIGINFLOW","TOT","NBR","A","2014",80870,
"BEL","IMMIGINFLOW","TOT","NBR","A","2005",41687.47,
"BEL","IMMIGINFLOW","TOT","NBR","A","2006",42533.79,
"BEL","IMMIGINFLOW","TOT","NBR","A","2007",83115.156,
"BEL","IMMIGINFLOW","TOT","NBR","A","2008",94952.626,
"BEL","IMMIGINFLOW","TOT","NBR","A","2009",95501.658,
"BEL","IMMIGINFLOW","TOT","NBR","A","2010",96713,
"BEL","IMMIGINFLOW","TOT","NBR","A","2011",95564,
"BEL","IMMIGINFLOW","TOT","NBR","A","2012",98964,
"BEL","IMMIGINFLOW","TOT","NBR","A","2013",93573,
"BEL","IMMIGINFLOW","TOT","NBR","A","2014",98636,
"CAN","IMMIGINFLOW","TOT","NBR","A","1995",212565,
"CAN","IMMIGINFLOW","TOT","NBR","A","1996",225924,
"CAN","IMMIGINFLOW","TOT","NBR","A","1997",215992,
"CAN","IMMIGINFLOW","TOT","NBR","A","1998",174190,
"CAN","IMMIGINFLOW","TOT","NBR","A","1999",189952,
"CAN","IMMIGINFLOW","TOT","NBR","A","2000",227470,
"CAN","IMMIGINFLOW","TOT","NBR","A","2001",250656,
"CAN","IMMIGINFLOW","TOT","NBR","A","2002",232604,
"CAN","IMMIGINFLOW","TOT","NBR","A","2003",228664,
"CAN","IMMIGINFLOW","TOT","NBR","A","2004",237681,
"CAN","IMMIGINFLOW","TOT","NBR","A","2005",262943,
"CAN","IMMIGINFLOW","TOT","NBR","A","2006",252504,
"CAN","IMMIGINFLOW","TOT","NBR","A","2007",237620,
"CAN","IMMIGINFLOW","TOT","NBR","A","2008",248130,
"CAN","IMMIGINFLOW","TOT","NBR","A","2009",253101,
"CAN","IMMIGINFLOW","TOT","NBR","A","2010",281262,
"CAN","IMMIGINFLOW","TOT","NBR","A","2011",249292,
"CAN","IMMIGINFLOW","TOT","NBR","A","2012",258347,
"CAN","IMMIGINFLOW","TOT","NBR","A","2013",262773,
"CAN","IMMIGINFLOW","TOT","NBR","A","2014",261310,
"CZE","IMMIGINFLOW","TOT","NBR","A","1997",12812,
"CZE","IMMIGINFLOW","TOT","NBR","A","1998",10702,
"CZE","IMMIGINFLOW","TOT","NBR","A","1999",9870,
"CZE","IMMIGINFLOW","TOT","NBR","A","2000",7766,
"CZE","IMMIGINFLOW","TOT","NBR","A","2001",12880,
"CZE","IMMIGINFLOW","TOT","NBR","A","2002",42789,
"CZE","IMMIGINFLOW","TOT","NBR","A","2003",57117,
"CZE","IMMIGINFLOW","TOT","NBR","A","2004",49671.599,
"CZE","IMMIGINFLOW","TOT","NBR","A","2005",55926.055,
"CZE","IMMIGINFLOW","TOT","NBR","A","2006",63016.6,
"CZE","IMMIGINFLOW","TOT","NBR","A","2007",98781,
"CZE","IMMIGINFLOW","TOT","NBR","A","2008",71819.4,
"CZE","IMMIGINFLOW","TOT","NBR","A","2009",38973,
"CZE","IMMIGINFLOW","TOT","NBR","A","2010",30515,
"CZE","IMMIGINFLOW","TOT","NBR","A","2011",22590,
"DNK","IMMIGINFLOW","TOT","NBR","A","2003",16761.621,
"DNK","IMMIGINFLOW","TOT","NBR","A","2004",17582.127,
"DNK","IMMIGINFLOW","TOT","NBR","A","2005",18217.918,
"DNK","IMMIGINFLOW","TOT","NBR","A","2006",20534.481,
"DNK","IMMIGINFLOW","TOT","NBR","A","2007",26392.289,
"DNK","IMMIGINFLOW","TOT","NBR","A","2008",41190.342,
"DNK","IMMIGINFLOW","TOT","NBR","A","2009",33424,
"DNK","IMMIGINFLOW","TOT","NBR","A","2010",37440.537,
"DNK","IMMIGINFLOW","TOT","NBR","A","2011",36695.346,
"DNK","IMMIGINFLOW","TOT","NBR","A","2012",39650.065,
"DNK","IMMIGINFLOW","TOT","NBR","A","2013",47651.763,
"DNK","IMMIGINFLOW","TOT","NBR","A","2014",55058.231,
"FIN","IMMIGINFLOW","TOT","NBR","A","1995",7345,
"FIN","IMMIGINFLOW","TOT","NBR","A","1996",7539,
"FIN","IMMIGINFLOW","TOT","NBR","A","1997",8147,
"FIN","IMMIGINFLOW","TOT","NBR","A","1998",8340,
"FIN","IMMIGINFLOW","TOT","NBR","A","1999",7937,
"FIN","IMMIGINFLOW","TOT","NBR","A","2000",9108,
"FIN","IMMIGINFLOW","TOT","NBR","A","2001",11037,
"FIN","IMMIGINFLOW","TOT","NBR","A","2002",9972,
"FIN","IMMIGINFLOW","TOT","NBR","A","2003",9432,
"FIN","IMMIGINFLOW","TOT","NBR","A","2004",11511,
"FIN","IMMIGINFLOW","TOT","NBR","A","2005",12744,
"FIN","IMMIGINFLOW","TOT","NBR","A","2006",13868,
"FIN","IMMIGINFLOW","TOT","NBR","A","2007",17504,
"FIN","IMMIGINFLOW","TOT","NBR","A","2008",19906,
"FIN","IMMIGINFLOW","TOT","NBR","A","2009",18087,
"FIN","IMMIGINFLOW","TOT","NBR","A","2010",18212,
"FIN","IMMIGINFLOW","TOT","NBR","A","2011",20416,
"FIN","IMMIGINFLOW","TOT","NBR","A","2012",23334,
"FIN","IMMIGINFLOW","TOT","NBR","A","2013",23873,
"FIN","IMMIGINFLOW","TOT","NBR","A","2014",23647,
"FRA","IMMIGINFLOW","TOT","NBR","A","2001",137903,
"FRA","IMMIGINFLOW","TOT","NBR","A","2002",153795,
"FRA","IMMIGINFLOW","TOT","NBR","A","2003",170184,
"FRA","IMMIGINFLOW","TOT","NBR","A","2004",198573,
"FRA","IMMIGINFLOW","TOT","NBR","A","2005",198512,
"FRA","IMMIGINFLOW","TOT","NBR","A","2006",209726,
"FRA","IMMIGINFLOW","TOT","NBR","A","2007",207015,
"FRA","IMMIGINFLOW","TOT","NBR","A","2008",213777,
"FRA","IMMIGINFLOW","TOT","NBR","A","2009",210478,
"FRA","IMMIGINFLOW","TOT","NBR","A","2010",221113,
"FRA","IMMIGINFLOW","TOT","NBR","A","2011",227580,
"FRA","IMMIGINFLOW","TOT","NBR","A","2012",245838,
"FRA","IMMIGINFLOW","TOT","NBR","A","2013",255584,
"FRA","IMMIGINFLOW","TOT","NBR","A","2014",251924,
"DEU","IMMIGINFLOW","TOT","NBR","A","1999",263710,
"DEU","IMMIGINFLOW","TOT","NBR","A","2000",264138,
"DEU","IMMIGINFLOW","TOT","NBR","A","2001",287281,
"DEU","IMMIGINFLOW","TOT","NBR","A","2002",257250,
"DEU","IMMIGINFLOW","TOT","NBR","A","2003",231275,
"DEU","IMMIGINFLOW","TOT","NBR","A","2004",230502.073,
"DEU","IMMIGINFLOW","TOT","NBR","A","2005",196635.738,
