Country,Country_code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,0,0,0,0,0,0,0,0,125862.418,149990.596,167319.197,179806.822,191905.255,205938.935,220981,208489,219478,245080,253492,231380,0,0
Austria,AUT,0,0,0,0,0,0,0,0,51943,57140,56813,30788,47119,49529,45689,45914,55197,70815,70753,80870,0,0
Belgium,BEL,0,0,0,0,0,0,0,0,0,0,41687.47,42533.79,83115.156,94952.626,95501.658,96713,95564,98964,93573,98636,0,0
Canada,CAN,212565,225924,215992,174190,189952,227470,250656,232604,228664,237681,262943,252504,237620,248130,253101,281262,249292,258347,262773,261310,0,0
Czech Republic,CZE,0,0,12812,10702,9870,7766,12880,42789,57117,49671.599,55926.055,63016.6,98781,71819.4,38973,30515,22590,0,0,0,0,0
Denmark,DNK,0,0,0,0,0,0,0,0,16761.621,17582.127,18217.918,20534.481,26392.289,41190.342,33424,37440.537,36695.346,39650.065,47651.763,55058.231,0,0
Finland,FIN,7345,7539,8147,8340,7937,9108,11037,9972,9432,11511,12744,13868,17504,19906,18087,18212,20416,23334,23873,23647,0,0
France,FRA,0,0,0,0,0,0,137903,153795,170184,198573,198512,209726,207015,213777,210478,221113,227580,245838,255584,251924,0,0
Germany,DEU,0,0,0,0,263710,264138,287281,257250,231275,230502.073,196635.738,165281.434,232870,228329,201452.108,222466.509,290791.023,400197,468822.938,574467.091,0,0
Ireland,IRL,0,0,0,0,0,0,0,43510,43150,24741,66100,85909.062,82574.582,61096,33008,23457,26275,24319,28153.371,30539,0,0
Italy,ITA,0,0,0,0,0,0,0,0,108538,153845,183799.844,173295,571865,490391,390329,355714,317271,274400.42,251384.608,204100.944,0,0
Japan,JPN,0,0,0,75706,81805,107853.345,88479.85,72893.681,87529.426,94093.457,98725.448,104076,108512,97739,65490,55675,59111,66375,57317,63920,0,0
Korea (Republic of),KOR,0,0,0,0,0,16164,19564,21799,29963,39211,43569,43071,44175,39049,36701,51085,56926,55590,66713,75736,0,0
Mexico,MEX,0,3495,4127,4369,5371,6414,8053,5828,4817,8513,9172,6874,6820,15103,23852,26402,21726,20950,54969,43480.003,0,0
Netherlands,NLD,0,0,65727.321,68582.334,57778.322,66167.471,69961.222,66752.07,65176.538,64812.738,69395.699,73109,76786,87021.5,87356.5,93834.5,104198,99947.2,109242.958,124111.693,0,0
New Zealand,NZL,0,0,0,0,0,0,57983,52970,48244,41592,59244,54637,51713,51168,47461,48488,44493,42672,45077,49939,0,0
Norway,NOR,0,0,0,0,0,0,0,0,23097.94,24948,25769,28006,43886,49329.87,48939.176,56789.753,61583.291,59853.705,60313.294,55634.664,0,0
Portugal,PRT,0,0,0,0,9957.521,15332.679,13776.224,13072.653,11046.787,13093.798,11507,25087,42837,65686,53816,41225,34320.628,27925.22,26391.52,30458.463,0,0
Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,563164.56,645617.495,386658.698,315266.104,280357.827,273230.958,196326.765,180395.882,183564.981,0,0
Sweden,SWE,0,0,0,0,0,47775,47879,47124,46777,46070,49795,78123,79857,76181,75778,66733,69739.897,80837.459,91057.077,100314.893,0,0
Switzerland,CHE,0,0,0,0,0,0,0,86914,79709,80728,78768,86311,122234,139137,114758,114988,124292,125590,135639,134579,0,0
United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,253684.18,311993.83,363276.254,344273.353,386850,358149,387073,428400,352254,312042,310504,365429,0,0
United States of America,USA,0,915560,797847,652779,642876,841002,1058902,1059356,703542,957883,1122373,1266264,1052415,1107126,1130231,1043259,1062352,1031907,990753,1016518,0,0
Israel,ISR,0,0,0,0,0,60192,43580,33565,23267,20898,21165,19267,18131,13699,14572,0,0,0,0,0,0,0
Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,261097,284515,317119,229427,412645,0,0,0,0,0
