"Adult mortality rate, male (per 1,000 people)",,,,,,,,,,,,,,,,,
Country,1990,,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014
 Afghanistan,396,,363,,340,,318,,297,,293,,289,,285,,281
 Albania,144,,144,,124,,108,,95,,92,,89,,87,,85
 Algeria,200,,183,,166,,154,,142,,140,,138,,136,,135
 Angola,473,,461,,435,,409,,386,,382,,377,,373,,369
 Antigua and Barbuda,200,,190,,180,,171,,162,,160,,158,,156,,154
 Argentina,205,,190,,181,,172,,161,,159,,158,,156,,154
 Armenia,234,,232,,200,,176,,171,,172,,173,,171,,170
 Australia,124,,109,,98,,85,,79,,78,,,,,,
 Austria,155,,145,,126,,111,,100,,94,,91,,89,,86
 Azerbaijan,232,,252,,221,,198,,184,,182,,179,,179,,178
 Bahamas,260,,253,,239,,222,,209,,207,,204,,202,,200
 Bahrain,128,,113,,99,,86,,79,,78,,77,,76,,75
 Bangladesh,197,,186,,176,,167,,159,,158,,157,,154,,152
 Barbados,183,,169,,156,,144,,133,,131,,129,,127,,125
 Belarus,282,,364,,354,,369,,334,,336,,287,,274,,261
 Belgium,139,,137,,130,,114,,102,,100,,99,,,,
 Belize,186,,221,,241,,234,,226,,226,,227,,225,,224
 Benin,313,,308,,315,,296,,279,,277,,275,,272,,270
 Bhutan,372,,330,,289,,250,,224,,220,,216,,213,,210
 Bolivia (Plurinational State of),317,,294,,272,,252,,232,,228,,224,,221,,219
 Bosnia and Herzegovina,225,,202,,161,,146,,136,,135,,133,,131,,130
 Botswana,307,,469,,606,,491,,365,,355,,346,,346,,346
 Brazil,290,,272,,248,,225,,207,,204,,200,,197,,194
 Brunei Darussalam,150,,136,,124,,112,,97,,94,,90,,88,,85
 Bulgaria,219,,245,,225,,220,,197,,,,,,,,
 Burkina Faso,355,,369,,359,,326,,296,,291,,287,,283,,279
 Burundi,399,,391,,382,,372,,348,,342,,336,,331,,327
 Cabo Verde,226,,201,,178,,157,,145,,144,,143,,140,,137
 Cambodia,387,,338,,292,,251,,225,,221,,218,,214,,210
 Cameroon,352,,375,,408,,409,,388,,383,,379,,374,,370
 Canada,127,,119,,101,,94,,85,,81,,,,,,
 Central African Republic,421,,470,,515,,508,,465,,455,,446,,434,,423
 Chad,413,,419,,427,,422,,402,,397,,392,,390,,388
 Chile,185,,158,,138,,122,,107,,104,,101,,98,,96
 China,154,,149,,130,,114,,105,,104,,102,,100,,98
 Colombia,262,,252,,230,,214,,201,,198,,196,,194,,192
 Comoros,328,,306,,297,,287,,269,,264,,260,,257,,254
 Congo,371,,419,,436,,392,,325,,312,,299,,292,,286
 Congo (Democratic Republic of the),387,,385,,371,,337,,307,,302,,297,,293,,290
 Costa Rica,132,,129,,127,,124,,120,,120,,119,,116,,114
 Croatia,216,,192,,175,,159,,143,,141,,138,,136,,134
 Cuba,149,,143,,134,,123,,115,,114,,113,,111,,109
 Cyprus,106,,98,,91,,84,,77,,75,,74,,72,,70
 Czech Republic,231,,195,,173,,155,,136,,132,,126,,121,,115
 Côte d'Ivoire,373,,421,,471,,462,,436,,433,,430,,427,,424
 Denmark,155,,142,,126,,111,,105,,97,,,,,,
 Djibouti,319,,334,,346,,329,,295,,288,,281,,279,,277
 Dominica,154,,,,183,,,,,,,,,,,,
 Dominican Republic,235,,233,,231,,223,,213,,211,,209,,207,,205
 Ecuador,204,,204,,201,,189,,174,,172,,169,,166,,164
 Egypt,231,,224,,217,,209,,198,,196,,193,,191,,189
 El Salvador,340,,315,,305,,293,,279,,275,,272,,268,,265
 Equatorial Guinea,395,,378,,370,,361,,340,,334,,329,,327,,326
 Eritrea,532,,473,,423,,382,,330,,319,,307,,301,,295
 Estonia,300,,395,,318,,282,,207,,207,,,,,,
 Ethiopia,414,,414,,409,,358,,291,,279,,267,,261,,255
 Fiji,265,,265,,264,,258,,245,,242,,239,,238,,236
 Finland,183,,156,,144,,138,,120,,115,,107,,,,
 France,168,,156,,138,,127,,116,,113,,109,,105,,
 Gabon,272,,281,,298,,285,,261,,258,,255,,250,,245
 Gambia,348,,340,,326,,314,,302,,299,,297,,294,,291
 Georgia,218,,214,,197,,184,,177,,176,,174,,173,,171
 Germany,158,,143,,124,,110,,100,,96,,,,,,
 Ghana,305,,309,,319,,298,,278,,276,,274,,272,,270
