"Sex ratio at birth (male to female births)"
"HDI Rank (2015)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"169"," Afghanistan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"75"," Albania","1.07","","1.07","","1.08","","1.08","","1.08","","1.08"," a"
"83"," Algeria","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"150"," Angola","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"62"," Antigua and Barbuda","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"45"," Argentina","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"84"," Armenia","1.06","","1.08","","1.15","","1.17","","1.15","","1.13"," a"
"2"," Australia","1.05","","1.06","","1.05","","1.06","","1.06","","1.06"," a"
"24"," Austria","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"78"," Azerbaijan","1.06","","1.08","","1.13","","1.17","","1.17","","1.14"," a"
"58"," Bahamas","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"47"," Bahrain","1.05","","1.03","","1.05","","1.03","","1.04","","1.04"," a"
"139"," Bangladesh","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"54"," Barbados","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"52"," Belarus","1.06","","1.07","","1.07","","1.06","","1.06","","1.06"," a"
"22"," Belgium","1.06","","1.05","","1.04","","1.05","","1.05","","1.05"," a"
"103"," Belize","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"167"," Benin","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"132"," Bhutan","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"118"," Bolivia (Plurinational State of)","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"81"," Bosnia and Herzegovina","1.07","","1.07","","1.07","","1.07","","1.07","","1.06"," a"
"108"," Botswana","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"79"," Brazil","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"30"," Brunei Darussalam","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"56"," Bulgaria","1.06","","1.05","","1.06","","1.06","","1.06","","1.06"," a"
"185"," Burkina Faso","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"184"," Burundi","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"122"," Cabo Verde","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"143"," Cambodia","1.04","","1.04","","1.04","","1.03","","1.06","","1.05"," a"
"153"," Cameroon","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"10"," Canada","1.05","","1.06","","1.05","","1.05","","1.05","","1.06"," a"
"188"," Central African Republic","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"186"," Chad","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"38"," Chile","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"90"," China","1.09","","1.12","","1.14","","1.16","","1.17","","1.16"," a"
"95"," Colombia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"160"," Comoros","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"135"," Congo","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"176"," Congo (Democratic Republic of the)","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"66"," Costa Rica","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"45"," Croatia","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"68"," Cuba","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"33"," Cyprus","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"28"," Czech Republic","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"171"," Côte d'Ivoire","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"5"," Denmark","1.06","","1.06","","1.06","","1.05","","1.06","","1.06"," a"
"172"," Djibouti","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"99"," Dominican Republic","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"89"," Ecuador","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"111"," Egypt","1.06","","1.06","","1.06","","1.07","","1.07","","1.06"," a"
"117"," El Salvador","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"135"," Equatorial Guinea","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"179"," Eritrea","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"30"," Estonia","1.06","","1.06","","1.07","","1.06","","1.06","","1.06"," a"
"174"," Ethiopia","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"91"," Fiji","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"23"," Finland","1.05","","1.04","","1.05","","1.05","","1.04","","1.05"," a"
"21"," France","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"109"," Gabon","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"173"," Gambia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"70"," Georgia","1.08","","1.08","","1.11","","1.11","","1.11","","1.10"," a"
"4"," Germany","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"139"," Ghana","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"29"," Greece","1.07","","1.07","","1.06","","1.07","","1.07","","1.06"," a"
"79"," Grenada","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"125"," Guatemala","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"183"," Guinea","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a"
"178"," Guinea-Bissau","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"127"," Guyana","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"163"," Haiti","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"130"," Honduras","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"12"," Hong Kong, China (SAR)","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"43"," Hungary","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"9"," Iceland","1.06","","1.06","","1.04","","1.04","","1.05","","1.04"," a"
"131"," India","1.07","","1.09","","1.10","","1.11","","1.11","","1.11"," a"
"113"," Indonesia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"69"," Iran (Islamic Republic of)","1.05","","1.05","","1.04","","1.04","","1.05","","1.05"," a"
"121"," Iraq","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"8"," Ireland","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"19"," Israel","1.05","","1.06","","1.06","","1.05","","1.05","","1.05"," a"
"26"," Italy","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"94"," Jamaica","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"17"," Japan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"86"," Jordan","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
