Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
British Virgin Islands,311.0,320.0,320.0,2498.0,853.4,853.4,853.4,853.4,853.4,853.4,853.4,500.0,500.0,500.0,500.0
Tokelau,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Sudan,49300.0,52900.0,70950.0,76190.0,85890.0,97190.0,80980.0,88370.0,98790.0,100000.0,80430.0,85420.0,89970.0,89970.0,89970.0
Mayotte,85.0,85.0,466.8,466.8,466.8,953.6,953.6,953.6,953.6,NA,NA,NA,NA,NA,NA
Croatia,38900.0,43120.0,47050.0,50330.0,55790.0,60380.0,69590.0,82580.0,78520.0,78090.0,79670.0,77560.0,78900.0,78900.0,78900.0
Macedonia,NA,NA,13810.0,14400.0,15940.0,16960.0,17350.0,18830.0,19460.0,20000.0,22150.0,21630.0,22570.0,22570.0,22570.0
United States,10082000.0,10450000.0,10990000.0,11750000.0,12310000.0,13060000.0,13780000.0,14440000.0,14720000.0,14660000.0,15670000.0,16239999.999999998,16719999.999999998,16719999.999999998,16719999.999999998
Serbia,NA,NA,NA,NA,41150.0,44830.0,77280.0,79770.0,80650.0,80100.0,79650.0,77830.0,80470.0,80470.0,80470.0
Nauru,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Zimbabwe,28000.0,26070.0,24030.0,24370.0,25690.0,25580.0,2342.0,1925.0,4395.0,5457.0,6909.0,7167.0,7496.0,7496.0,7496.0
Timor-Leste,NA,NA,NA,NA,NA,370.0,2608.0,2526.0,3004.0,3051.0,10630.0,23190.0,25410.0,25410.0,25410.0
Tajikistan,7500.0,8476.0,6812.0,7950.0,8617.0,9521.0,11960.0,13190.0,14610.0,14740.0,17610.0,17560.0,19200.0,19200.0,19200.0
Swaziland,4600.0,5542.0,5702.0,6018.0,5680.0,6018.0,5364.0,5826.0,6055.0,6067.0,6148.0,6174.0,6259.0,6259.0,6259.0
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,733.0,733.0,733.0,733.0
Saint Vincent and the Grenadines,339.0,339.0,342.0,342.0,342.0,864.0,1042.0,1072.0,1107.0,1069.0,1301.0,1291.0,1335.0,1335.0,1335.0
Cape Verde,600.0,600.0,600.0,600.0,2990.0,3129.0,1603.0,1630.0,1861.0,1908.0,2188.0,NA,NA,NA,NA
United Arab Emirates,51000.0,53970.0,57700.0,63670.0,115800.0,129500.0,164400.0,206300.0,199800.0,246800.0,271200.0,255800.0,269800.0,269800.0,269800.0
Belize,830.0,1280.0,1280.0,1778.0,1778.0,2307.0,2444.0,2542.0,2652.0,2651.0,2896.0,2967.0,3083.0,3083.0,3083.0
American Samoa,500.0,500.0,500.0,500.0,510.1,510.1,510.1,575.3,575.3,575.3,575.3,575.3,575.3,575.3,575.3
Sweden,227400.0,230700.0,238300.0,255400.0,268300.0,290100.0,338500.0,345100.0,354000.0,354700.0,395800.0,385100.0,393800.0,393800.0,393800.0
Madagascar,14000.0,12590.0,13020.0,14560.0,16050.0,17270.0,18440.0,20180.0,20730.0,19410.0,21370.0,21180.0,22030.0,22030.0,22030.0
Antigua and Barbuda,674.0,750.0,750.0,750.0,750.0,1145.0,1526.0,1639.0,1433.0,1425.0,1535.0,1562.0,1610.0,1610.0,1610.0
Peru,132000.0,138800.0,146000.0,155300.0,167300.0,186600.0,219600.0,247900.0,274700.0,275700.0,325400.0,322900.0,344000.0,344000.0,344000.0
Isle of Man,NA,NA,NA,NA,2113.0,2719.0,2719.0,2719.0,2719.0,2719.0,2719.0,4075.9999999999995,4075.9999999999995,4075.9999999999995,4075.9999999999995
