Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,21500.0
Albania,17460.0
Algeria,212300.0
American Samoa,500.0
Andorra,1900.0
Angola,23170.0
Anguilla,112.0
Antigua and Barbuda,750.0
Argentina,483500.0
Armenia,13650.0
Aruba,1940.0
Australia,611700.0
Austria,255900.0
Azerbaijan,30010.0
"Bahamas, The",5295.0
Bahrain,13010.0
Bangladesh,275700.0
Barbados,4569.0
Belarus,70500.0
Belgium,316200.0
Belize,1778.0
Benin,8338.0
Bermuda,2330.0
Bhutan,2900.0
Bolivia,22330.0
Bosnia and Herzegovina,26210.0
Botswana,15050.0
Brazil,1492000.0
British Virgin Islands,2498.0
Brunei,6842.0
Bulgaria,61630.0
Burkina Faso,15740.0
Burma,74300.0
Burundi,4001.0000000000005
Cambodia,26990.0
Cameroon,30170.0
Canada,1022999.9999999999
Cape Verde,600.0
Cayman Islands,1391.0
Central African Republic,4248.0
Chad,15660.0
Chile,169100.0
China,7262000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,281100.0
Comoros,441.0
"Congo, Democratic Republic of the",42740.0
"Congo, Republic of the",2324.0
Cook Islands,105.0
Costa Rica,37970.0
Cote d'Ivoire,24780.0
Croatia,50330.0
Cuba,33920.0
Cyprus,15710.0
Czech Republic,172200.0
Denmark,174400.0
Djibouti,619.0
Dominica,384.0
Dominican Republic,55680.0
East Timor,370.0
Ecuador,49510.0
Egypt,316300.0
El Salvador,32350.0
Equatorial Guinea,1270.0
Eritrea,4154.0
Estonia,19230.0
Ethiopia,54890.0
European Union,11650000.0
Falkland Islands (Islas Malvinas),75.0
Faroe Islands,1000.0
Fiji,5173.0
Finland,151200.0
France,1737000.0
French Guiana,1551.0
French Polynesia,4580.0
Gabon,7966.0
"Gambia, The",2799.0
Gaza Strip,768.0
Georgia,14450.0
Germany,2362000.0
Ghana,48270.0
Gibraltar,769.0
Greece,226400.0
Greenland,1100.0
Grenada,440.0
Guadeloupe,3513.0
Guam,3200.0
Guatemala,59470.0
Guernsey,2590.0
Guinea,19500.0
Guinea-Bissau,1008.0
Guyana,2899.0
Haiti,12050.0
Honduras,18790.0
Hong Kong,234500.0
Hungary,149300.0
Iceland,9373.0
India,3319000.0
Indonesia,827400.0
Iran,516700.00000000006
Iraq,54400.0
Ireland,126400.0
Israel,129000.0
Italy,1609000.0
Jamaica,11130.0
Japan,3745000.0
Jersey,3600.0
Jordan,25500.0
Kazakhstan,118400.0
Kenya,34680.0
Kiribati,79.0
"Korea, North",40000.0
"Korea, South",925100.0
Kuwait,48000.0
Kyrgyzstan,8495.0
Laos,11280.0
Latvia,26530.0
Lebanon,18830.0
Lesotho,5892.0
Liberia,2903.0
Libya,37480.0
Liechtenstein,825.0
Lithuania,45230.0
Luxembourg,27270.0
Macau,9100.0
Macedonia,14400.0
Madagascar,14560.0
Malawi,7410.0
Malaysia,229300.0
Maldives,1250.0
Mali,11000.0
Malta,7223.0
"Man, Isle of",2113.0
Marshall Islands,115.0
Martinique,6117.0
Mauritania,5534.0
Mauritius,15680.0
Mayotte,466.8
Mexico,1006000.0
"Micronesia, Federated States of",277.0
Moldova,8581.0
Monaco,870.0
Mongolia,5332.0
Montserrat,29.0
Morocco,134600.0
Mozambique,23380.0
Namibia,14760.0
Nauru,60.0
Nepal,39530.0
Netherlands,481100.0
Netherlands Antilles,2450.0
New Caledonia,3158.0
New Zealand,92510.0
Nicaragua,12340.0
Niger,9716.0
Nigeria,125700.0
Niue,7.6
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,183000.0
Oman,38090.0
Pakistan,347300.0
Palau,174.0
Panama,20570.0
Papua New Guinea,11990.0
Paraguay,29930.0
Peru,155300.0
Philippines,430600.0
Pitcairn Islands,NA
Poland,463000.0
Portugal,188700.0
Puerto Rico,68950.0
Qatar,19490.0
Reunion,4570.0
Romania,171500.0
Russia,1408000.0
Rwanda,10430.0
Saint Helena,18.0
Saint Kitts and Nevis,339.0
Saint Lucia,866.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,342.0
Samoa,1000.0
San Marino,940.0
Sao Tome and Principe,214.0
Saudi Arabia,310200.0
Senegal,18360.0
Serbia and Montenegro,26270.0
Seychelles,626.0
Sierra Leone,3335.0
Singapore,120900.0
Slovakia,78890.0
Slovenia,39410.0
Solomon Islands,800.0
Somalia,4597.0
South Africa,491400.0
Spain,937600.0
Sri Lanka,80580.0
Sudan,76190.0
Suriname,1885.0
Svalbard,NA
Swaziland,6018.0
Sweden,255400.0
Switzerland,251900.0
Syria,60440.0
Taiwan,576200.0
Tajikistan,7950.0
Tanzania,23710.0
Thailand,524800.0
Togo,8684.0
Tokelau,1.5
Tonga,244.0
Trinidad and Tobago,11480.0
Tunisia,70880.0
Turkey,508700.0
Turkmenistan,27600.0
Turks and Caicos Islands,216.0
Tuvalu,12.2
Uganda,39390.0
Ukraine,299100.0
United Arab Emirates,63670.0
United Kingdom,1782000.0
United States,11750000.0
Uruguay,49270.0
Uzbekistan,47590.0
Vanuatu,580.0
Venezuela,145200.0
Vietnam,227200.0
Virgin Islands,2500.0
Wallis and Futuna,60.0
West Bank,1800.0
Western Sahara,NA
World,55500000.0
Yemen,16250.0
Zambia,9409.0
Zimbabwe,24370.0
