Country,"exports( migrant(s)/1,000 population)"
Afghanistan,1200.0
Albania,340.0
Algeria,19500.0
American Samoa,345.0
Andorra,58.0
Angola,8600.0
Anguilla,2.6
Antigua and Barbuda,40.0
Argentina,25300.0
Armenia,525.0
Aruba,1880.0
Australia,66300.0
Austria,70000.0
Azerbaijan,2000.0
"Bahamas, The",560.7
Bahrain,5800.0
Bangladesh,6200.0
Barbados,227.0
Belarus,7700.0
Belgium,162000.0
Belize,290.0
Benin,207.0
Bermuda,51.0
Bhutan,154.0
Bolivia,1300.0
Bosnia and Herzegovina,1150.0
Botswana,2400.0
Brazil,59400.0
British Virgin Islands,25.3
Brunei,3000.0
Bulgaria,5300.0
Burkina Faso,250.0
Burma,2700.0
Burundi,26.0
Cambodia,1380.0
Cameroon,1900.0
Canada,260500.0
Cape Verde,30.0
Cayman Islands,1.2
Central African Republic,134.0
Chad,197.0
Chile,17800.0
China,325600.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,12900.0
Comoros,16.3
"Congo, Democratic Republic of the",1200.0
"Congo, Republic of the",2400.0
Cook Islands,9.1
Costa Rica,5100.0
Cote d'Ivoire,4400.0
Croatia,4900.0
Cuba,1800.0
Cyprus,1030.0
Czech Republic,40800.0
Denmark,56300.0
Djibouti,70.0
Dominica,50.0
Dominican Republic,5300.0
East Timor,8.0
Ecuador,4900.0
Egypt,7000.0
El Salvador,3000.0
Equatorial Guinea,2500.0
Eritrea,20.0
Estonia,3400.0
Ethiopia,433.0
Falkland Islands (Islas Malvinas),7.6
Faroe Islands,418.0
Fiji,442.0
Finland,40100.0
France,307800.0
French Guiana,155.0
French Polynesia,260.0
Gabon,2600.0
"Gambia, The",138.0
Gaza Strip,603.0
Georgia,515.0
Germany,608000.0
Ghana,2200.0
Gibraltar,81.1
Greece,12600.0
Greenland,364.0
Grenada,78.0
Guadeloupe,140.0
Guam,75.7
Guatemala,2700.0
Guernsey,NA
Guinea,835.0
Guinea-Bissau,71.0
Guyana,500.0
Haiti,298.0
Honduras,1300.0
Hong Kong,200300.0
Hungary,31400.0
Iceland,2300.0
India,44500.0
Indonesia,52300.0
Iran,24800.0
Iraq,13000.0
Ireland,86600.0
Israel,28100.0
Italy,259200.0
Jamaica,1400.0
Japan,383800.0
Jersey,NA
Jordan,2500.0
Kazakhstan,10300.0
Kenya,2100.0
Kiribati,6.0
"Korea, North",842.0
"Korea, South",162600.0
Kuwait,16000.0
Kyrgyzstan,488.0
Laos,345.0
Latvia,2300.0
Lebanon,1000.0
Lesotho,422.0
Liberia,110.0
Libya,11800.0
Liechtenstein,2470.0
Lithuania,5400.0
Luxembourg,10100.0
Macau,2360.0
"Macedonia, The Former Yugoslav Republic of",1100.0
Madagascar,700.0
Malawi,435.0
Malaysia,95200.0
Maldives,110.0
Mali,680.0
Malta,2000.0
"Man, Isle of",NA
Marshall Islands,9.0
Martinique,250.0
Mauritania,355.0
Mauritius,1600.0
Mayotte,3.44
Mexico,158400.0
"Micronesia, Federated States of",22.0
Moldova,590.0
Monaco,NA
Mongolia,501.0
Montserrat,700.0
Morocco,7500.0
Mozambique,680.0
Namibia,1210.0
Nauru,27.0
Nepal,720.0
Netherlands,243300.0
Netherlands Antilles,553.0
New Caledonia,400.0
New Zealand,15000.0
Nicaragua,637.0
Niger,293.0
Nigeria,17300.0
Niue,137.0
Norfolk Island,1.5
Northern Mariana Islands,NA
Norway,68200.0
Oman,10600.0
Pakistan,9800.0
Palau,18.0
Panama,5800.0
Papua New Guinea,1800.0
Paraguay,2000.0
Peru,7600.0
Philippines,35100.0
Pitcairn Islands,NA
Poland,32400.0
Portugal,25900.0
Puerto Rico,46900.0
Qatar,10900.0
Reunion,214.0
Romania,13700.0
Russia,104600.0
Rwanda,68.0
Saint Helena,704.0
Saint Kitts and Nevis,47.0
Saint Lucia,68.3
Saint Pierre and Miquelon,12.0
Saint Vincent and the Grenadines,53.7
Samoa,15.5
San Marino,NA
Sao Tome and Principe,5.5
Saudi Arabia,71000.0
Senegal,1150.0
Serbia and Montenegro,2400.0
Seychelles,235.0
Sierra Leone,35.0
Singapore,127000.0
Slovakia,12900.0
Slovenia,10300.0
Solomon Islands,47.0
Somalia,126.0
South Africa,31800.0
Spain,122200.0
Sri Lanka,4600.0
Sudan,1800.0
Suriname,445.0
Svalbard,NA
Swaziland,820.0
Sweden,80600.0
Switzerland,100300.0
Syria,6200.0
Taiwan,130000.0
Tajikistan,710.0
Tanzania,863.0
Thailand,67700.0
Togo,449.0
Tokelau,98.0
Tonga,8.9
Trinidad and Tobago,4200.0
Tunisia,6800.0
Turkey,35100.0
Turkmenistan,2970.0
Turks and Caicos Islands,169.2
Tuvalu,276.0
Uganda,476.0
Ukraine,18100.0
United Arab Emirates,44900.0
United Kingdom,286300.0
United States,687000.0
Uruguay,2100.0
Uzbekistan,2800.0
Vanuatu,22.0
Venezuela,28600.0
Vietnam,16500.0
Virgin Islands,NA
Wallis and Futuna,250.0
West Bank,603.0
Western Sahara,NA
World,6600000.0
Yemen,3400.0
Zambia,709.0
Zimbabwe,1570.0
