Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,221900.0,243300.0,253200.0,293100.0,365100.0,391100.0,456800.0,531700.0,451300.0,486700.0,556500.0,540300.0,576900.0,576900.0,576900.0
Serbia,NA,NA,NA,NA,4553.0,4553.0,8824.0,8824.0,9372.0,9809.0,12250.0,11330.0,14610.0,14610.0,14610.0
Equatorial Guinea,2100.0,2500.0,2100.0,2771.0,6727.0,7836.0,9904.0,13030.0,10240.0,10390.0,18310.0,14860.0,15440.0,15440.0,15440.0
Czech Republic,38000.0,40800.0,46770.0,66510.0,78370.0,95120.0,122300.0,145700.0,116500.0,116700.0,134100.0,131700.0,161400.0,161400.0,161400.0
Timor-Leste,NA,NA,NA,NA,NA,10.0,10.0,10.0,10.0,9.2,18.0,34.1,34.1,34.1,34.1
Slovakia,12900.0,12900.0,21250.0,29240.0,30700.0,41860.0,57530.0,72570.0,64180.00000000001,67970.0,77820.0,80670.0,82700.0,82700.0,82700.0
Niue,137.0,137.0,137.0,137.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
Kuwait,16200.0,16000.0,22290.0,27420.0,44430.0,58640.0,63720.0,86940.0,65030.0,66960.0,109400.0,121000.0,112000.0,112000.0,112000.0
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,100300.0,100300.0,110000.0,130699.99999999999,148600.0,167000.0,200100.0,241300.0,235200.0,258500.0,298300.0,332100.0,229200.0,229200.0,229200.0
Taiwan,122000.0,130000.0,143000.0,170500.0,189400.0,223800.0,246500.0,254900.0,277600.0,273800.0,288200.0,299800.0,305800.0,305800.0,305800.0
Argentina,26700.0,25300.0,29570.0,33780.0,40000.0,46460.0,55780.0,70020.0,68010.0,68130.0,85360.0,80910.0,85080.0,85080.0,85080.0
"Bahamas, The",535.8,560.7,617.0,636.0,469.3,451.0,674.0,674.0,674.0,702.4,790.0,984.0,960.0,960.0,960.0
Albania,340.0,340.0,425.0,552.4,650.1,792.9,1076.0,1345.0,1339.0,1548.0,2121.0,1123.0,2323.0,2323.0,2323.0
Hong Kong,191000.0,200300.0,225900.0,268100.0,286300.0,317600.0,345900.0,365200.0,382600.0,394000.0,439000.0,466000.0,456400.0,456400.0,456400.0
Morocco,8200.0,7500.0,8466.0,9754.0,9472.0,11390.0,12750.0,20170.0,14490.0,17580.0,22230.0,16990.0,16780.0,16780.0,16780.0
New Zealand,14200.0,15000.0,15860.0,19850.0,22210.0,22490.0,27350.0,31190.0,33240.0,31880.0,37730.0,37870.0,37840.0,37840.0,37840.0
China,312800.0,325600.0,436100.0,583100.0,752200.0,969700.0,1220000.0,1435000.0,1506000.0,1581000.0,2021000.0,1971000.0,2210000.0,2210000.0,2210000.0
Faroe Islands,471.0,418.0,408.0,408.0,533.0,598.0,634.0,634.0,848.0,848.0,824.0,824.0,824.0,824.0,824.0
Burma,1800.0,2700.0,2434.0,2137.0,3111.0,5321.0,6122.0,6677.0,7841.0,8586.0,8529.0,7820.0,9043.0,9043.0,9043.0
Saint Vincent and the Grenadines,53.7,53.7,38.0,38.0,37.0,37.0,193.0,193.0,193.0,56.0,68.3,48.7,45.7,45.7,45.7
