Country,"imports( migrant(s)/1,000 population)"
Afghanistan,3870.0
Albania,2916.0
Algeria,21240.0
American Samoa,308.8
Andorra,1879.0
Angola,11280.0
Anguilla,129.9
Antigua and Barbuda,378.0
Argentina,32590.000000000004
Armenia,1921.0
Aruba,875.0
Australia,134500.0
Austria,133700.0
Azerbaijan,5269.0
"Bahamas, The",2160.0
Bahrain,8565.0
Bangladesh,14750.0
Barbados,1476.0
Belarus,22240.0
Belgium,279900.0
Belize,612.0
Benin,839.0
Bermuda,982.0
Bhutan,410.0
Bolivia,2636.0
Bosnia and Herzegovina,7618.0
Botswana,2646.0
Brazil,91350.0
British Virgin Islands,187.0
Brunei,1481.0
Bulgaria,21870.0
Burkina Faso,1188.0
Burma,2284.0
Burundi,286.0
Cambodia,4749.0
Cameroon,3127.0
Canada,356500.0
Cape Verde,561.0
Cayman Islands,866.9
Central African Republic,203.0
Chad,1006.9999999999999
Chile,35900.0
China,751900.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,24860.0
Comoros,115.0
"Congo, Democratic Republic of the",1319.0
"Congo, Republic of the",2035.0000000000002
Cook Islands,81.04
Costa Rica,10840.0
Cote d'Ivoire,5039.0
Croatia,21120.0
Cuba,10170.0
Cyprus,5800.0
Czech Republic,92140.0
Denmark,88000.0
Djibouti,987.0
Dominica,234.0
Dominican Republic,11190.0
Ecuador,11330.0
Egypt,33100.0
El Salvador,7257.0
Equatorial Guinea,2403.0
Eritrea,571.0
Estonia,12610.0
Ethiopia,4106.0
European Union,1466000.0
Falkland Islands (Islas Malvinas),90.0
Faroe Islands,639.0
Fiji,1462.0
Finland,66100.0
France,520799.99999999994
French Polynesia,1706.0
Gabon,1501.0
"Gambia, The",249.0
Gaza Strip,2440.0
Georgia,3686.0
Germany,934000.0
Ghana,6604.0
Gibraltar,2967.0
Greece,64590.0
Greenland,599.0
Grenada,276.0
Guam,701.0
Guatemala,11070.0
Guernsey,NA
Guinea,704.0
Guinea-Bissau,176.0
Guyana,778.0
Haiti,1548.0
Honduras,5037.0
Hong Kong,331700.0
Hungary,74020.0
Iceland,5716.0
India,184400.0
Indonesia,73000.0
Iran,45670.0
Iraq,21480.0
Ireland,72790.0
Isle of Man,NA
Israel,46960.0
Italy,428700.0
Jamaica,5062.0
Japan,534500.0
Jersey,NA
Jordan,10260.0
Kazakhstan,24120.0
Kenya,6796.0
Kiribati,62.0
"Korea, North",2720.0
"Korea, South",302600.0
Kuwait,14350.0
Kyrgyzstan,1792.0
Laos,922.0
Latvia,10990.0
Lebanon,8547.0
Lesotho,1361.0
Liberia,4839.0
Libya,12280.0
Liechtenstein,917.3
Lithuania,18290.0
Luxembourg,20860.0
Macau,3912.0
Macedonia,3682.0
Madagascar,1467.0
Malawi,832.0
Malaysia,124000.0
Maldives,832.0
Mali,1858.0
Malta,4130.0
Marshall Islands,54.7
Mauritania,1124.0
Mauritius,3427.0
Mayotte,341.0
Mexico,256100.00000000003
"Micronesia, Federated States of",132.7
Moldova,2644.0
Monaco,916.1
Mongolia,1184.0
Montenegro,601.7
Montserrat,17.0
Morocco,20960.0
Mozambique,2649.0
Namibia,2558.0
Nauru,20.0
Nepal,2000.0
Netherlands,343000.0
Netherlands Antilles,4383.0
New Caledonia,1780.0
New Zealand,24610.0
Nicaragua,3422.0
Niger,588.0
Nigeria,26910.0
Niue,9.038
Norfolk Island,17.9
Northern Mariana Islands,214.4
Norway,62990.0
Oman,9928.0
Pakistan,26700.0
Palau,107.3
Panama,10310.0
Papua New Guinea,1958.0
Paraguay,5771.0
Peru,14900.0
Philippines,53110.0
Pitcairn Islands,NA
Poland,122200.0
Portugal,64450.0
Puerto Rico,29100.0
Qatar,12360.0
Romania,47170.0
Russia,164700.0
Rwanda,436.0
Saint Helena,45.0
Saint Kitts and Nevis,405.0
Saint Lucia,410.0
Saint Pierre and Miquelon,68.2
Saint Vincent and the Grenadines,225.0
Samoa,285.0
San Marino,2035.0000000000002
Sao Tome and Principe,63.0
Saudi Arabia,64160.0
Senegal,3007.0
Serbia,10580.0
Seychelles,706.0
Sierra Leone,531.0
Singapore,244600.0
Slovakia,44950.0
Slovenia,22790.0
Solomon Islands,159.0
Somalia,576.0
South Africa,69940.0
Spain,317100.0
Sri Lanka,9378.0
Sudan,7105.0
Suriname,750.0
Svalbard,NA
Swaziland,2197.0
Sweden,132800.0
Switzerland,162300.0
Syria,10540.0
Taiwan,200400.0
Tajikistan,1955.0
Tanzania,4369.0
Thailand,113400.0
Timor-Leste,202.0
Togo,1040.0
Tokelau,969.0
Tonga,122.0
Trinidad and Tobago,6843.0
Tunisia,14040.0
Turkey,132100.0
Turkmenistan,4057.0000000000005
Turks and Caicos Islands,175.6
Tuvalu,9.186
Uganda,2249.0
Ukraine,44140.0
United Arab Emirates,86110.0
United Kingdom,604200.0
United States,1861000.0
Uruguay,4859.0
Uzbekistan,3770.0
Vanuatu,117.1
Venezuela,32229.999999999996
Vietnam,40560.0
Virgin Islands,4609.0
Wallis and Futuna,61.17
West Bank,2440.0
Western Sahara,NA
World,11950000.0
Yemen,4690.0
Zambia,2625.0
Zimbabwe,2040.0
