Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sao Tome and Principe,40.0,24.8,30.03,41.0,38.0,63.0,66.0,87.0,99.0,99.65,121.9,115.1,112.8,112.8,112.8
Colombia,12700.0,12500.0,13060.0,15340.0,18000.0,24860.0,31170.0,37560.0,36260.0,38640.0,55490.0,54640.0,53500.0,53500.0,53500.0
French Guiana,625.0,625.0,625.0,625.0,625.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,6600.0,6000.0,6073.0,8162.000000000001,8855.0,8547.0,11930.0,16250.0,17970.0,17730.0,20730.0,20330.0,20970.0,20970.0,20970.0
Ecuador,4800.0,6000.0,6220.0,7650.0,8436.0,11330.0,12760.0,17790.0,17650.0,19640.0,24670.0,24580.0,26220.0,26220.0,26220.0
Luxembourg,10250.0,13250.0,11610.0,16300.0,18740.0,20860.0,23130.0,27730.0,23670.0,22080.0,25080.0,23780.0,23120.0,23120.0,23120.0
Kenya,3100.0,3000.0,3705.0,4190.0,5126.0,6796.0,8540.0,10690.0,10400.0,11200.0,14390.0,15100.0,15860.0,15860.0,15860.0
Tajikistan,700.0,830.0,890.0,1300.0,1250.0,1955.0,2762.0,3699.0,3301.0,2936.0,3733.0,4382.0,4121.0,4121.0,4121.0
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,45.0,45.0,45.0,20.53,20.53,20.53,20.53
Spain,156600.0,156600.0,197100.0,222000.0,271800.0,317100.0,380200.0,415500.0,324600.0,315300.0,322700.0,323600.0,431000.0,431000.0,431000.0
Eritrea,470.5,500.0,600.0,622.0,676.5,571.0,573.0,601.0,738.0,677.2,939.7,972.8,1027.0,1027.0,1027.0
American Samoa,452.0,452.0,123.0,123.0,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8,308.8
Denmark,47900.0,47900.0,54470.0,63450.0,74690.0,88000.0,102000.0,116400.0,90830.0,87440.0,97910.0,96770.0,98450.0,98450.0,98450.0
Nauru,21.1,33.0,31.0,19.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,NA,NA,NA
Indonesia,38100.0,32100.0,40220.0,45070.0,62020.0,73000.0,84930.0,116000.0,111100.0,127400.0,185000.0,178700.0,178600.0,178600.0,178600.0
Cuba,4800.0,4800.0,4531.0,5296.0,6916.0,10170.0,10080.0,14250.0,10250.0,10410.0,14120.0,13720.0,13600.0,13600.0,13600.0
Mexico,168000.0,168400.0,168900.0,190800.0,223700.0,256100.00000000003,281900.0,308600.0,306000.0,301500.0,379400.0,371200.0,370700.0,370700.0,370700.0
Niue,2.38,2.38,2.38,2.38,9.038,9.038,9.038,9.038,9.038,9.038,9.038,9.038,9.038,9.038,9.038
El Salvador,5000.0,4900.0,5466.0,5968.0,6678.0,7257.0,8108.000000000001,9003.0,7980.0,8189.0,10440.0,9912.0,10030.0,10030.0,10030.0
Honduras,2700.0,2700.0,3110.0,3332.0,4161.0,5037.0,8556.0,10390.0,8878.0,8550.0,10660.0,11180.0,11340.0,11340.0,11340.0
Burkina Faso,580.0,525.0,633.6,866.3,992.0,1188.0,1296.0,1343.0,1480.0,1663.0,2868.0,2675.0,2941.0,2941.0,2941.0
East Timor,237.0,237.0,237.0,167.0,202.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, South",146600.0,148400.0,175600.0,214200.0,256000.0,302600.0,349600.0,427400.0,417900.0,422400.0,520500.0,514200.00000000006,516600.0,516600.0,516600.0
Mongolia,614.5,659.0,691.0,1000.0,1010.9999999999999,1184.0,2117.0,3615.0,2131.0,3300.0,5790.0,5934.0,5696.0,5696.0,5696.0
United States,1148000.0,1165000.0,1260000.0,1476000.0,1727000.0,1861000.0,1968000.0,2117000.0,1903000.0,1935000.0,2357000.0,2303000.0,2273000.0,2273000.0,2273000.0
Benin,437.6,479.0,726.0,934.5,1043.0,839.0,1085.0,1843.0,1812.0,1781.0,2136.0,1755.0,1835.0,1835.0,1835.0
Taiwan,109000.0,113000.0,119600.0,165400.0,181600.0,200400.0,215100.0,236700.0,250200.0,247300.0,261600.00000000003,268800.0,268500.0,268500.0,268500.0
Angola,2700.0,4100.0,4080.0,4896.0,8164.999999999999,11280.0,12290.0,17080.0,18100.0,18340.0,22320.0,23720.0,26090.0,26090.0,26090.0
Saint Pierre and Miquelon,55.0,55.0,106.0,106.0,70.0,68.2,68.2,68.2,68.2,68.2,68.2,95.35,95.35,95.35,95.35
South Africa,28100.0,26600.0,33890.0,39420.0,52970.0,69940.0,81890.0,90570.0,77040.0,81860.0,106800.0,102600.0,99550.0,99550.0,99550.0
Syria,4000.0,4900.0,4845.0,5042.0,5973.0,10540.0,10500.0,15970.0,13570.0,16980.0,10010.0,10780.0,8917.0,8917.0,8917.0
Israel,30800.0,30800.0,32270.000000000004,36840.0,43190.0,46960.0,55790.0,64400.00000000001,55600.0,58040.0,77590.0,71670.0,67030.0,67030.0,67030.0
Timor-Leste,NA,NA,NA,NA,NA,202.0,202.0,202.0,202.0,384.9,689.0,689.0,689.0,689.0,689.0
French Polynesia,749.0,1200.0,1341.0,1341.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,2200.0,2200.0,2200.0,2200.0
China,268600.0,295300.0,397400.0,552400.0,631800.0,751900.0,904600.0,1074000.0,1307000.0,1327000.0,1780000.0,1653000.0,1950000.0,1950000.0,1950000.0
Qatar,3500.0,3900.0,5711.0,6150.0,6706.0,12360.0,19860.0,25110.0,23380.0,20940.0,23490.0,30790.0,39580.0,39580.0,39580.0
Iraq,11000.0,7800.0,6521.0,9900.0,19570.0,21480.0,25670.0,37220.0,42560.0,43920.0,56890.0,50160.0,66610.0,66610.0,66610.0
United Kingdom,330100.0,330100.0,363600.0,439400.0,483700.0,604200.0,621400.0,639300.0,546500.0,563200.0,646000.0,643500.0,782500.0,782500.0,782500.0
Kiribati,44.0,44.0,83.0,83.0,62.0,62.0,62.0,62.0,62.0,62.0,80.09,80.09,80.09,80.09,80.09
