Country,"international_organization_participation( migrant(s)/1,000 population)"
Afghanistan,34
Albania,44
Algeria,55
American Samoa,4
Andorra,17
Angola,41
Anguilla,5
Antigua and Barbuda,35
Argentina,69
Armenia,42
Aruba,7
Australia,57
Austria,75
Azerbaijan,46
"Bahamas, The",36
Bahrain,40
Bangladesh,57
Barbados,39
Belarus,36
Belgium,69
Belize,38
Benin,48
Bermuda,5
Bhutan,25
Bolivia,47
Bosnia and Herzegovina,39
Botswana,39
Brazil,58
British Virgin Islands,7
Brunei,28
Bulgaria,57
Burkina Faso,48
Burma,34
Burundi,37
Cambodia,40
Cameroon,51
Canada,78
Cape Verde,38
Cayman Islands,5
Central African Republic,41
Chad,40
Chile,55
China,56
Christmas Island,1
Cocos (Keeling) Islands,1
Colombia,54
Comoros,39
"Congo, Democratic Republic of the",47
"Congo, Republic of the",42
Cook Islands,16
Costa Rica,47
Cote d'Ivoire,49
Croatia,47
Cuba,37
Cyprus,46
Czech Republic,63
Denmark,72
Djibouti,41
Dominica,38
Dominican Republic,45
East Timor,8
Ecuador,47
Egypt,66
El Salvador,42
Equatorial Guinea,36
Eritrea,36
Estonia,41
Ethiopia,40
Falkland Islands (Islas Malvinas),1
Faroe Islands,3
Fiji,46
Finland,71
France,90
French Guiana,3
French Polynesia,5
Gabon,43
"Gambia, The",43
Georgia,40
Germany,76
Ghana,57
Gibraltar,1
Greece,64
Greenland,2
Grenada,36
Guadeloupe,3
Guam,4
Guatemala,46
Guernsey,1
Guinea,47
Guinea-Bissau,42
Guyana,44
Haiti,41
Holy See (Vatican City),17
Honduras,45
Hong Kong,16
Hungary,64
Iceland,50
India,62
Indonesia,54
Iran,46
Iraq,43
Ireland,64
Israel,41
Italy,77
Jamaica,45
Japan,68
Jordan,56
Kazakhstan,44
Kenya,51
Kiribati,24
"Korea, North",24
"Korea, South",61
Kuwait,46
Kyrgyzstan,45
Laos,34
Latvia,41
Lebanon,45
Lesotho,38
Liberia,37
Libya,44
Liechtenstein,19
Lithuania,43
Luxembourg,51
Macau,10
"Macedonia, The Former Yugoslav Republic of",41
Madagascar,41
Malawi,41
Malaysia,54
Maldives,31
Mali,47
Malta,39
"Man, Isle of",1
Marshall Islands,23
Martinique,3
Mauritania,45
Mauritius,43
Mayotte,1
Mexico,63
"Micronesia, Federated States of",21
Moldova,42
Monaco,25
Mongolia,40
Montserrat,6
Morocco,53
Mozambique,45
Namibia,42
Nauru,18
Nepal,46
Netherlands,69
Netherlands Antilles,9
New Caledonia,6
New Zealand,58
Nicaragua,44
Niger,47
Nigeria,61
Niue,9
Norfolk Island,1
Northern Mariana Islands,3
Norway,65
Oman,37
Pakistan,61
Palau,19
Panama,43
Papua New Guinea,43
Paraguay,45
Peru,53
Philippines,48
Pitcairn Islands,1
Poland,69
Portugal,67
Puerto Rico,10
Qatar,41
Reunion,3
Romania,59
Russia,70
Rwanda,38
Saint Helena,1
Saint Kitts and Nevis,33
Saint Lucia,39
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,35
Samoa,32
San Marino,24
Sao Tome and Principe,34
Saudi Arabia,47
Senegal,53
Serbia and Montenegro,47
Seychelles,38
Sierra Leone,42
Singapore,40
Slovakia,59
Slovenia,49
Solomon Islands,30
Somalia,39
South Africa,53
Spain,67
Sri Lanka,47
Sudan,47
Suriname,37
Svalbard,1
Swaziland,37
Sweden,76
Switzerland,68
Syria,42
Taiwan,9
Tajikistan,39
Tanzania,46
Thailand,54
Togo,45
Tokelau,3
Tonga,32
Trinidad and Tobago,44
Tunisia,56
Turkey,65
Turkmenistan,39
Turks and Caicos Islands,3
Tuvalu,15
Uganda,43
Ukraine,55
United Arab Emirates,43
United Kingdom,80
United States,78
Uruguay,53
Uzbekistan,41
Vanuatu,32
Venezuela,55
Vietnam,40
Virgin Islands,3
Wallis and Futuna,2
Western Sahara,1
Yemen,43
Zambia,44
Zimbabwe,43
