Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,74.0%,76.2%,76.2%,76.2%,76.2%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,85.1%,85.1%,85.1%,85.1%
Reunion,79.0%,88.9%,88.9%,88.9%,88.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,71.5%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,81.1%,81.1%,81.1%,84.5%,84.5%,84.5%,84.5%
Saint Kitts and Nevis,97.0%,97.0%,97.0%,97.0%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
Tunisia,66.7%,74.2%,74.2%,74.3%,74.3%,74.3%,74.3%,74.3%,74.3%,74.3%,74.3%,79.1%,79.1%,79.1%,79.1%
Liechtenstein,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Burma,83.1%,83.1%,85.3%,85.3%,85.3%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,92.7%,92.7%,92.7%,92.7%
Botswana,69.8%,79.8%,79.8%,79.8%,79.8%,81.2%,81.2%,81.2%,81.2%,81.2%,84.5%,85.1%,85.1%,85.1%,85.1%
Cambodia,35.0%,69.9%,69.4%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.9%,73.9%,73.9%,73.9%
Singapore,93.5%,93.2%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,95.9%,95.9%,95.9%,95.9%
Guyana,98.1%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%
Burundi,35.3%,51.6%,51.6%,51.6%,51.6%,59.3%,59.3%,59.3%,59.3%,59.3%,67.2%,67.2%,67.2%,67.2%,67.2%
Ethiopia,35.5%,42.7%,42.7%,42.7%,42.7%,42.7%,42.7%,42.7%,42.7%,42.7%,42.7%,39.0%,39.0%,39.0%,39.0%
Puerto Rico,89.0%,93.8%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,90.3%,90.3%,90.3%,90.3%
Malawi,58.0%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,62.7%,74.8%,74.8%,74.8%,74.8%,74.8%
Taiwan,86.0%,86.0%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%
Nigeria,57.1%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,68.0%,61.3%,61.3%,61.3%,61.3%,61.3%
Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,46.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,61.1%,71.9%,71.9%,71.9%,71.9%
Vietnam,93.7%,94.0%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,94.0%,94.0%,93.4%,93.4%,93.4%,93.4%
Italy,98.0%,98.6%,98.6%,98.6%,98.6%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,99.0%,99.0%,99.0%,99.0%
New Zealand,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Poland,99.0%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.5%,99.7%,99.7%,99.7%,99.7%
Greece,97.0%,97.5%,97.5%,97.5%,97.5%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,97.3%,97.3%,97.3%,97.3%
Saint Lucia,67.0%,67.0%,67.0%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peru,88.3%,90.9%,90.9%,87.7%,87.7%,87.7%,87.7%,92.9%,92.9%,92.9%,92.9%,89.6%,89.6%,89.6%,89.6%
Netherlands Antilles,98.0%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,79.2%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,77.9%,90.0%,90.0%,90.0%,90.0%
