Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,0.42
Albania,-4.67
Algeria,-0.35
American Samoa,-21.11
Andorra,6.47
Angola,3.55
Anguilla,6.9
Antigua and Barbuda,-6.08
Argentina,0.4
Armenia,-5.72
Aruba,0.0
Australia,3.85
Austria,1.94
Azerbaijan,-4.38
"Bahamas, The",-2.17
Bahrain,0.82
Bangladesh,-0.68
Barbados,-0.31
Belarus,2.3
Belgium,1.22
Belize,0.0
Benin,0.67
Bermuda,2.4
Bhutan,0.0
Bolivia,-1.22
Bosnia and Herzegovina,13.01
Botswana,6.07
Brazil,-0.03
British Virgin Islands,9.22
Brunei,3.31
Bulgaria,-4.01
Burkina Faso,0.0
Burma,0.0
Burundi,8.22
Cambodia,0.0
Cameroon,0.0
Canada,5.85
Cape Verde,-11.91
Cayman Islands,17.78
Central African Republic,0.0
Chad,-0.11
Chile,0.0
China,-0.39
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,-0.3
Comoros,0.0
"Congo, Democratic Republic of the",0.23
"Congo, Republic of the",-3.62
Costa Rica,0.49
Cote d'Ivoire,0.0
Croatia,1.58
Cuba,-1.57
Cyprus,0.42
Czech Republic,0.97
Denmark,2.52
Djibouti,0.0
Dominica,-9.3
Dominican Republic,-2.79
East Timor,0.0
Ecuador,-3.11
Egypt,-0.21
El Salvador,-3.61
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,-3.2
Ethiopia,0.0
European Union,1.5
Falkland Islands (Islas Malvinas),NA
Faroe Islands,0.47
Fiji,-2.94
Finland,0.84
France,0.66
French Guiana,4.01
French Polynesia,2.85
Gabon,-2.65
"Gambia, The",1.29
Gaza Strip,1.48
Georgia,-4.54
Germany,2.18
Ghana,-0.11
Gibraltar,0.0
Greece,2.34
Greenland,-8.37
Grenada,-12.59
Guadeloupe,-0.15
Guam,0.0
Guatemala,-1.94
Guernsey,3.82
Guinea,0.0
Guinea-Bissau,0.0
Guyana,-7.49
Haiti,-1.31
Honduras,-1.39
Hong Kong,4.89
Hungary,0.86
Iceland,1.74
India,-0.07
Indonesia,0.0
Iran,-0.48
Iraq,0.0
Ireland,4.87
Isle of Man,5.3
Israel,0.0
Italy,2.06
Jamaica,-6.27
Japan,0.0
Jersey,2.74
Jordan,6.26
Kazakhstan,-3.33
Kenya,0.0
Kiribati,0.0
"Korea, North",0.0
"Korea, South",0.0
Kuwait,15.66
Kyrgyzstan,-2.5
Laos,0.0
Latvia,-2.26
Lebanon,0.0
Lesotho,-0.68
Liberia,27.39
Libya,0.0
Liechtenstein,4.77
Lithuania,-0.71
Luxembourg,8.75
Macau,4.56
Macedonia,-0.65
Madagascar,0.0
Malawi,0.0
Malaysia,0.0
Maldives,0.0
Mali,-6.6
Malta,2.05
Marshall Islands,-5.78
Martinique,-0.03
Mauritania,0.0
Mauritius,-0.4
Mayotte,4.48
Mexico,-4.32
"Micronesia, Federated States of",-21.03
Moldova,-0.23
Monaco,7.68
Mongolia,0.0
Montserrat,0.0
Morocco,-0.87
Mozambique,0.0
Namibia,0.47
Nauru,0.0
Nepal,0.0
Netherlands,2.72
Netherlands Antilles,-0.4
New Caledonia,0.0
New Zealand,3.63
Nicaragua,-1.17
Niger,-0.61
Nigeria,0.27
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,8.26
Norway,1.73
Oman,0.35
Pakistan,-0.59
Palau,1.85
Panama,-0.4
Papua New Guinea,0.0
Paraguay,-0.08
Peru,-1.01
Philippines,-1.48
Pitcairn Islands,NA
Poland,-0.46
Portugal,3.4
Puerto Rico,-1.14
Qatar,14.12
Reunion,0.0
Romania,-0.13
Russia,1.03
Rwanda,0.0
Saint Helena,0.0
Saint Kitts and Nevis,-4.7
Saint Lucia,-1.73
Saint Pierre and Miquelon,-4.98
Saint Vincent and the Grenadines,-7.59
Samoa,-11.76
San Marino,10.7
Sao Tome and Principe,-2.32
Saudi Arabia,-4.94
Senegal,0.0
Seychelles,-5.4
Sierra Leone,0.23
Singapore,9.12
Slovakia,0.3
Slovenia,0.88
Solomon Islands,0.0
Somalia,0.0
South Africa,-0.16
Spain,0.99
Sri Lanka,-1.23
Sudan,-0.02
Suriname,-8.76
Svalbard,NA
Swaziland,0.0
Sweden,1.66
Switzerland,3.12
Syria,0.0
Taiwan,0.0
Tajikistan,-2.48
Tanzania,-3.05
Thailand,0.0
Togo,0.0
Tokelau,NA
Tonga,0.0
Trinidad and Tobago,-11.07
Tunisia,-0.5
Turkey,0.0
Turkmenistan,-0.75
Turks and Caicos Islands,10.54
Tuvalu,0.0
Uganda,-1.4
Ukraine,-0.43
United Arab Emirates,0.66
United Kingdom,2.18
United States,3.18
Uruguay,-0.25
Uzbekistan,-1.5
Vanuatu,0.0
Venezuela,0.0
Vietnam,-0.42
Virgin Islands,-8.73
Wallis and Futuna,NA
West Bank,2.8
Yemen,0.0
Zambia,0.0
Zimbabwe,0.0
