Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,-6.23,-6.19,-6.15,-6.11,-6.08,-6.04,2.41,2.38,2.35,2.32,2.29,2.26,2.23,2.23,2.23
Honduras,-2.07,-2.04,-1.99,-1.95,-1.39,-1.36,-1.33,-1.3,-1.27,-1.25,-1.22,-1.2,-1.18,-1.18,-1.18
Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,1.96,1.96,2.35,2.34,2.34,2.34,2.33,2.33,2.33,2.32,2.32,2.32,2.32,2.32,2.32
Ireland,4.12,3.57,4.99,4.93,4.87,4.82,4.76,4.71,0.0,0.86,1.69,2.51,3.31,3.31,3.31
Bulgaria,-4.74,-4.58,-4.58,-4.3,-4.01,-3.71,-3.41,-3.11,-2.8,-2.82,-2.84,-2.86,-2.89,-2.89,-2.89
Pakistan,-0.79,-0.75,-2.77,-1.67,-0.59,-1.24,-0.51,-0.48,-2.36,-2.17,-2.0,-1.84,-1.69,-1.69,-1.69
Northern Mariana Islands,17.02,16.11,9.61,8.92,8.26,7.64,7.04,6.47,-73.56,-57.46,-41.32,-15.22,-4.02,-4.02,-4.02
Taiwan,-0.3,0.0,0.0,0.0,0.0,0.61,0.04,0.03,0.03,0.03,0.03,0.91,0.9,0.9,0.9
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,-7.07,-7.02,-6.97,-6.92,-6.86,-6.86,-6.86
Venezuela,-0.11,-0.07,-0.04,0.0,0.0,-1.28,-0.84,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,6.74,6.67,6.6,6.53,6.47,6.42,13.99,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,4.12,4.05,3.98,3.91,3.85,3.78,6.34,6.23,6.13,6.03,5.93,5.83,5.74,5.74,5.74
New Zealand,4.48,4.26,4.05,3.83,3.63,3.43,2.62,2.46,2.3,2.28,2.26,2.24,2.23,2.23,2.23
Sri Lanka,-1.39,-1.35,-1.31,-1.27,-1.23,-1.16,-1.12,-1.09,-1.05,-2.16,-1.95,-1.74,-1.54,-1.54,-1.54
Cyprus,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,11.68,11.21,10.75,10.31,9.89,9.89,9.89
Kuwait,13.88,14.04,14.18,14.96,15.66,16.05,16.39,16.02,15.65,0.65,0.0,-0.59,-1.11,-1.11,-1.11
"Congo, Democratic Republic of the",-2.75,-1.26,-0.17,-0.17,0.23,1.28,1.24,1.07,0.77,-0.54,-0.47,-0.4,-0.33,-0.33,-0.33
Libya,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,33.32,16.01,16.01,16.01
Namibia,0.0,0.0,0.0,0.52,0.47,0.41,0.35,0.3,0.25,0.2,0.15,0.1,0.05,0.05,0.05
Slovakia,0.53,0.53,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.01,0.01,0.01
Anguilla,15.02,12.8,10.76,8.83,6.9,5.12,14.6,14.06,13.54,13.25,12.97,12.7,12.43,12.43,12.43
Tunisia,-0.63,-0.6,-0.57,-0.54,-0.5,-0.47,-0.44,-0.41,-0.38,-1.79,-1.78,-1.76,-1.74,-1.74,-1.74
Serbia,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, South",0.0,0.0,0.0,0.0,0.0,0.0,NA,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,NA,0.0,0.0,0.0,0.0,10.0,9.85,9.7,9.56,9.42,9.29,9.16,9.04,9.04,9.04
Sao Tome and Principe,-3.15,-2.93,-2.72,-2.51,-2.32,-2.14,-1.97,-1.81,-9.52,-9.33,-9.14,-8.96,-8.79,-8.79,-8.79
Gabon,0.0,0.0,0.0,0.0,-2.65,-3.15,-3.62,-3.48,-2.24,-2.2,-2.16,-2.11,-2.07,-2.07,-2.07
Reunion,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virgin Islands,0.12,0.12,-8.94,-8.64,-8.73,-8.8,-5.72,-5.49,-5.27,-5.04,-4.8,-8.01,-7.84,-7.84,-7.84
India,-0.07,-0.07,-0.07,-0.07,-0.07,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
Macau,9.08,8.93,4.86,4.86,4.56,4.42,26.21,14.56,3.52,3.49,3.46,3.43,3.4,3.4,3.4
Cuba,-1.21,-1.05,-1.58,-1.58,-1.57,-1.57,-1.57,-1.56,-1.56,-3.56,-3.59,-3.61,-3.64,-3.64,-3.64
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,-0.4,-0.39,-0.37,-0.35,-0.34,-0.34,-0.34
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,1.27,1.27,1.27,1.27,1.27,1.27,1.27
Brazil,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.09,-0.09,-0.09,-0.09,-0.09,-0.17,-0.15,-0.15,-0.15
Italy,1.73,2.07,2.07,2.07,2.06,2.06,2.06,2.06,2.07,4.86,4.67,4.47,4.29,4.29,4.29
Marshall Islands,0.0,-6.18,-6.04,-5.91,-5.78,-5.65,-5.52,-5.41,-5.3,-5.19,-5.1,-5.0,-4.92,-4.92,-4.92
Latvia,-1.23,-1.19,-2.23,-2.24,-2.26,-2.27,-2.29,-2.3,-2.32,-2.33,-2.34,-2.36,-2.37,-2.37,-2.37
Saint Helena,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,2.36,2.34,2.07,2.06,2.05,2.04,2.03,2.02,2.02,2.01,2.0,1.99,1.99,1.99,1.99
Algeria,-0.42,-0.4,-0.39,-0.37,-0.35,-0.33,-0.31,-0.29,-0.28,-0.27,-0.27,-0.93,-0.93,-0.93,-0.93
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,-2.43,-6.04,-12.08,-8.48,83.82,83.82,83.82
Vietnam,-0.47,-0.46,-0.45,-0.43,-0.42,-0.4,-0.39,-0.38,-0.37,-0.35,-0.34,-0.33,-0.32,-0.32,-0.32
Senegal,0.21,0.21,0.2,0.2,0.0,0.0,0.0,0.0,-1.99,-1.9,-1.82,-1.74,-1.66,-1.66,-1.66
Somalia,5.75,5.56,5.37,5.19,0.0,0.0,0.0,0.0,0.0,-11.81,-11.62,-10.55,-9.51,-9.51,-9.51
Spain,0.87,0.99,0.99,0.99,0.99,0.99,0.99,0.99,2.73,3.89,5.02,6.14,7.24,7.24,7.24
Indonesia,-0.21,0.0,0.0,0.0,0.0,-1.27,-1.25,-1.24,-1.23,-1.15,-1.08,-1.19,-1.18,-1.18,-1.18
Saint Kitts and Nevis,-9.5,-8.31,-7.11,-5.9,-4.7,-3.51,-2.31,-1.15,1.26,1.25,1.24,1.23,1.22,1.22,1.22
Hungary,0.76,0.78,0.86,0.86,0.86,0.86,0.86,0.87,1.4,1.39,1.37,1.36,1.34,1.34,1.34
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
