Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,40%
Albania,13.8%
Algeria,15.7%
American Samoa,29.8%
Andorra,0%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,8.7%
Armenia,7.4%
Aruba,6.9%
Australia,4.9%
Austria,4.9%
Azerbaijan,1.2%
"Bahamas, The",10.2%
Bahrain,15%
Bangladesh,2.5%
Barbados,10.7%
Belarus,1.6%
Belgium,8.1%
Belize,9.4%
Benin,NA
Bermuda,2.1%
Bhutan,2.5%
Bolivia,7.8%
Bosnia and Herzegovina,45.5%
Botswana,23.8%
Brazil,9.6%
British Virgin Islands,3.6%
Brunei,4%
Bulgaria,9.6%
Burkina Faso,NA
Burma,10.2%
Burundi,NA
Cambodia,2.5%
Cameroon,30%
Canada,6.4%
Cape Verde,21%
Cayman Islands,4.4%
Central African Republic,8%
Chad,NA
Chile,7.8%
China,4.2%
Cocos (Keeling) Islands,60%
Colombia,11.1%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,6.6%
Cote d'Ivoire,13%
Croatia,17.2%
Cuba,1.9%
Cyprus,NA
Czech Republic,8.4%
Denmark,3.8%
Djibouti,50%
Dominica,23%
Dominican Republic,16%
Ecuador,10.6%
Egypt,10.3%
El Salvador,6%
Equatorial Guinea,30%
Eritrea,NA
Estonia,4.5%
Ethiopia,NA
European Union,8.5%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,2.1%
Fiji,7.6%
Finland,7%
France,8.7%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,20.3%
Georgia,12.6%
Germany,7.1%
Ghana,20%
Gibraltar,2%
Greece,9.2%
Greenland,9.3%
Grenada,12.5%
Guam,11.4%
Guatemala,3.2%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,27.9%
Hong Kong,4.9%
Hungary,7.4%
Iceland,1.3%
India,7.8%
Indonesia,12.5%
Iran,15%
Iraq,25%
Ireland,4.3%
Isle of Man,1.5%
Israel,8.3%
Italy,7%
Jamaica,11.3%
Japan,4.1%
Jersey,2.2%
Jordan,15.4%
Kazakhstan,7.4%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.3%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,2.4%
Latvia,6.5%
Lebanon,20%
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.3%
Lithuania,3.7%
Luxembourg,4.1%
Macau,4.1%
Macedonia,36%
Malawi,NA
Malaysia,3.5%
Maldives,NA
Mali,14.6%
Malta,6.8%
Marshall Islands,30.9%
Mauritania,20%
Mauritius,9.4%
Mayotte,25.4%
Mexico,3.2%
"Micronesia, Federated States of",22%
Moldova,NA
Monaco,0%
Mongolia,3.3%
Montenegro,27.7%
Montserrat,6%
Morocco,7.7%
Mozambique,21%
Namibia,5.3%
Nauru,90%
Nepal,42%
Netherlands,5.5%
Netherlands Antilles,17%
New Caledonia,17.1%
New Zealand,3.8%
Nicaragua,3.8%
Niger,NA
Nigeria,5.8%
Niue,12%
Northern Mariana Islands,3.9%
Norway,3.5%
Oman,15%
Pakistan,6.5%
Palau,4.2%
Panama,8.8%
Papua New Guinea,2%
Paraguay,9.4%
Peru,7.2%
Philippines,7.9%
Poland,14.9%
Portugal,7.6%
Puerto Rico,12%
Qatar,3.2%
Romania,6.1%
Russia,6.6%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,3.8%
Sao Tome and Principe,NA
Saudi Arabia,13%
Senegal,NA
Serbia,31.6%
Seychelles,NA
Sierra Leone,NA
Singapore,3.1%
Slovakia,10.2%
Slovenia,9.6%
Solomon Islands,NA
Somalia,NA
South Africa,25.5%
Spain,8.1%
Sri Lanka,7.6%
Sudan,18.7%
Suriname,9.5%
Swaziland,40%
Sweden,5.6%
Switzerland,3.3%
Syria,12.5%
Taiwan,3.9%
Tajikistan,12%
Tanzania,NA
Thailand,2.1%
Timor-Leste,50%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,7%
Tunisia,13.9%
Turkey,10.2%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,2.7%
United Arab Emirates,2.4%
United Kingdom,2.9%
United States,4.8%
Uruguay,10.8%
Uzbekistan,3%
Vanuatu,1.7%
Venezuela,8.9%
Vietnam,2%
Virgin Islands,6.2%
Wallis and Futuna,15.2%
West Bank,20.3%
Western Sahara,NA
World,30%
Yemen,35%
Zambia,50%
Zimbabwe,80%
