Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
United Kingdom,5.2%,5.2%,5%,4.8%,4.7%,2.9%,5.3%,5.6%,7.9%,7.8%,7.8%,8%,7.2%,7.2%,7.2%
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guernsey,0.5%,0.5%,0.5%,0.5%,0.5%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%
Canada,7.6%,7.6%,7.8%,7%,6.8%,6.4%,6%,6.2%,8%,8%,7.3%,7.3%,7.1%,7.1%,7.1%
Kazakhstan,10%,8.8%,8.8%,8%,8.1%,7.4%,7.3%,6.6%,5.5%,5.8%,5.3%,5.3%,5.3%,5.3%,5.3%
"Korea, South",3.1%,3.1%,3.4%,3.6%,3.7%,3.3%,3.3%,3.2%,3.7%,3.7%,3.8%,3.2%,3.2%,3.2%,3.2%
Singapore,4.7%,4.6%,4.8%,3.4%,3.1%,3.1%,2.1%,2.2%,2.3%,2.2%,2%,1.9%,1.9%,1.9%,1.9%
Slovakia,17.2%,17.2%,15.2%,13.1%,16.4%,10.2%,8.4%,7.7%,12.5%,12.5%,12.8%,13.6%,14.4%,14.4%,14.4%
Gaza Strip,26%,50%,50%,50%,31%,20.3%,34.8%,41.3%,40%,40%,40%,23%,22.5%,22.5%,22.5%
Estonia,12.4%,12.4%,10.1%,9.6%,7.8%,4.5%,4.7%,5.7%,13.5%,16.9%,11.5%,10.2%,10.9%,10.9%,10.9%
Montserrat,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
Senegal,48%,48%,48%,48%,NA,NA,48%,48%,48%,48%,48%,48%,48%,48%,48%
Paraguay,17.8%,18.2%,18.5%,15.1%,16%,9.4%,5.6%,5.4%,6.9%,7%,6.9%,6.9%,6.6%,6.6%,6.6%
West Bank,26%,50%,50%,27.2%,19.9%,20.3%,18.6%,16.3%,16.5%,16.5%,23%,23%,22.5%,22.5%,22.5%
Laos,5.7%,5.7%,5.7%,5.7%,2.4%,2.4%,2.4%,2.4%,2.5%,2.5%,2.5%,2.5%,1.9%,1.9%,1.9%
Romania,9.1%,8.3%,7.2%,6.3%,7.7%,6.1%,4.1%,4.4%,8.2%,6.9%,4.3%,5.6%,7.3%,7.3%,7.3%
Namibia,30%,35%,35%,35%,35%,5.3%,5.2%,5%,51.2%,51.2%,51.2%,51.2%,27.4%,27.4%,27.4%
Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,4.1%,4.1%,4.1%,4.1%,4.4%,4.4%,4.4%,4.4%,4%,4%,4%,4%,4%,4%,4%
Turks and Caicos Islands,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
Mozambique,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,17%,17%,17%,17%
Panama,13%,16%,13.8%,12.6%,9.8%,8.8%,6.4%,5.6%,4.4%,4.2%,4.4%,4.4%,4.5%,4.5%,4.5%
Guatemala,7.5%,7.5%,7.5%,7.5%,7.5%,3.2%,3.2%,3.2%,3.2%,3.2%,4.1%,4.1%,4.1%,4.1%,4.1%
Togo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,8%,6.7%,6.7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5%,17.5%,17.5%
