Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,6%
Algeria,3%
American Samoa,NA
Andorra,4.3%
Angola,110%
Anguilla,2.3%
Antigua and Barbuda,0.4%
Argentina,4%
Armenia,3.1%
Aruba,4%
Australia,2.8%
Austria,1.8%
Azerbaijan,2.6%
"Bahamas, The",1.5%
Bahrain,1.5%
Bangladesh,5.8%
Barbados,3.5%
Belarus,46.1%
Belgium,1.7%
Belize,1.7%
Benin,3%
Bermuda,3%
Bhutan,7%
Bolivia,2%
Bosnia and Herzegovina,5%
Botswana,6.6%
Brazil,7.7%
British Virgin Islands,3.3%
Brunei,1%
Bulgaria,5.9%
Burkina Faso,3.5%
Burma,20%
Burundi,14%
Cambodia,1.6%
Cameroon,2%
Canada,2.2%
Cape Verde,3%
Cayman Islands,2.3%
Central African Republic,3.6%
Chad,3%
Chile,3.5%
China,-0.8%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,7.6%
Comoros,3.5%
"Congo, Democratic Republic of the",358%
"Congo, Republic of the",3%
Cook Islands,3.2%
Costa Rica,12.1%
Cote d'Ivoire,2.5%
Croatia,4%
Cuba,7.1%
Cyprus,NA
Czech Republic,2.2%
Denmark,2.3%
Djibouti,2%
Dominica,1%
Dominican Republic,5%
East Timor,NA
Ecuador,22%
Egypt,2.3%
El Salvador,3.8%
Equatorial Guinea,6%
Eritrea,15%
Estonia,3.7%
Ethiopia,6.8%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,5.1%
Fiji,3%
Finland,1.9%
France,1.8%
French Guiana,2.5%
French Polynesia,1.5%
Gabon,1.5%
"Gambia, The",4%
Gaza Strip,1%
Georgia,5.2%
Germany,1.3%
Ghana,25%
Gibraltar,1.5%
Greece,3.6%
Greenland,1.6%
Grenada,2.8%
Guadeloupe,NA
Guam,0%
Guatemala,7.6%
Guernsey,3.99%
Guinea,6%
Guinea-Bissau,5%
Guyana,6%
Haiti,14%
Honduras,9.7%
Hong Kong,-1.6%
Hungary,5.3%
Iceland,5%
India,5.4%
Indonesia,11.5%
Iran,17.3%
Iraq,60%
Ireland,4.6%
Israel,5.7%
Italy,2.4%
Jamaica,6.9%
Japan,-0.9%
Jersey,4.7%
Jordan,3.3%
Kazakhstan,8.5%
Kenya,3.3%
Kiribati,2.5%
"Korea, North",NA
"Korea, South",2.8%
Kuwait,2.7%
Kyrgyzstan,7%
Laos,10%
Latvia,2%
Lebanon,0.5%
Lesotho,6.9%
Liberia,8%
Libya,13.6%
Liechtenstein,1%
Lithuania,0.8%
Luxembourg,1.6%
Macau,-2%
"Macedonia, The Former Yugoslav Republic of",4%
Madagascar,7%
Malawi,28.6%
Malaysia,1.5%
Maldives,3%
Mali,4.5%
Malta,2.4%
"Man, Isle of",2.5%
Marshall Islands,1.9%
Martinique,3.9%
Mauritania,4.4%
Mauritius,4.2%
Mayotte,NA
Mexico,6.5%
"Micronesia, Federated States of",2.5%
Moldova,5.5%
Monaco,NA
Mongolia,11.8%
Montserrat,5%
Morocco,1%
Mozambique,10%
Namibia,8.8%
Nauru,-3.6%
Nepal,2.1%
Netherlands,3.4%
Netherlands Antilles,5.8%
New Caledonia,2.3%
New Zealand,2.6%
Nicaragua,7.4%
Niger,4.2%
Nigeria,14.9%
Niue,1%
Norfolk Island,NA
Northern Mariana Islands,1.2%
Norway,1.3%
Oman,1%
Pakistan,4%
Palau,3.4%
Panama,1%
Papua New Guinea,10.3%
Paraguay,7.2%
Peru,1.5%
Philippines,6%
Pitcairn Islands,NA
Poland,2.5%
Portugal,3.7%
Puerto Rico,5.7%
Qatar,2%
Reunion,NA
Romania,34.5%
Russia,16.2%
Rwanda,5%
Saint Helena,3.2%
Saint Kitts and Nevis,1.7%
Saint Lucia,3%
Saint Pierre and Miquelon,2.1%
Saint Vincent and the Grenadines,-0.4%
Samoa,2.5%
San Marino,3.3%
Sao Tome and Principe,7%
Saudi Arabia,1.7%
Senegal,3.3%
Serbia and Montenegro,18%
Seychelles,6.1%
Sierra Leone,15%
Singapore,1.5%
Slovakia,3.3%
Slovenia,7.4%
Solomon Islands,7.9%
Somalia,NA
South Africa,5.8%
Spain,3%
Sri Lanka,14.2%
Sudan,10%
Suriname,59%
Svalbard,NA
Swaziland,7.5%
Sweden,2.2%
Switzerland,0.5%
Syria,0.3%
Taiwan,0.5%
Tajikistan,33%
Tanzania,5%
Thailand,1.6%
Togo,2.3%
Tokelau,NA
Tonga,9.4%
Trinidad and Tobago,5.6%
Tunisia,2.7%
Turkey,45.2%
Turkmenistan,10%
Turks and Caicos Islands,4%
Tuvalu,5%
Uganda,3.5%
Ukraine,12%
United Arab Emirates,4.5%
United Kingdom,2.1%
United States,2.8%
Uruguay,3.6%
Uzbekistan,23%
Vanuatu,2.5%
Venezuela,12.3%
Vietnam,-0.3%
Virgin Islands,NA
Wallis and Futuna,NA
West Bank,1%
Western Sahara,NA
World,NA
Yemen,10%
Zambia,21.5%
Zimbabwe,100%
