Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Pakistan,4%,3.9%,2.9%,4.8%,9.1%,7.9%,7.6%,20.3%,13.4%,13.9%,11.3%,9.7%,7.7%,7.7%,7.7%
Netherlands Antilles,5.8%,0.4%,2.1%,2.1%,2.1%,2.1%,2.1%,2.1%,NA,NA,NA,NA,NA,NA,NA
Palau,3.4%,3.4%,3.4%,3.4%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%,2.7%
Burma,20%,53.7%,49.7%,17.2%,20.2%,20%,35%,26.8%,9.6%,7.7%,3.1%,1.5%,5.7%,5.7%,5.7%
Thailand,1.6%,0.6%,1.8%,2.8%,4.5%,4.6%,2.2%,5.5%,3.3%,3.3%,3.1%,3%,2.2%,2.2%,2.2%
Bolivia,2%,2%,3.3%,4.9%,5.4%,4.3%,8.7%,14%,2.1%,2.5%,4.7%,4.5%,6.5%,6.5%,6.5%
Gaza Strip,1%,2.2%,2.2%,2.2%,7%,1.2%,3.6%,11.5%,9.9%,6%,3.5%,2.8%,1.7%,1.7%,1.7%
Taiwan,0.5%,-0.2%,-0.3%,1.7%,2.3%,0.6%,1.8%,3.5%,1.3%,1%,2.3%,1.9%,1.1%,1.1%,1.1%
Kyrgyzstan,7%,2.1%,3.5%,3.2%,5.2%,5.6%,10.2%,24.5%,4.8%,8%,4%,2.7%,6.8%,6.8%,6.8%
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,3%,3%,3%,3.2%,3.4%,3.5%,2.8%,4.1%,1.3%,2%,2.5%,2.4%,1.8%,1.8%,1.8%
Panama,1%,1.1%,1.4%,2%,2.9%,1.1%,4.2%,8.8%,3.3%,3.5%,6.1%,5.7%,4.1%,4.1%,4.1%
Ecuador,22%,12.5%,7.9%,2%,2.1%,3.3%,2.3%,8.3%,3.6%,3.6%,5.3%,5.1%,2.6%,2.6%,2.6%
Ethiopia,6.8%,4%,17.8%,2.4%,11.6%,13.5%,17.2%,44.4%,7%,8.1%,21.7%,22.9%,8.4%,8.4%,8.4%
Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,5.5%,5.5%,11.6%,11.5%,11.9%,12.7%,12.3%,12.8%,7.3%,7.4%,4.5%,4.5%,4.6%,4.6%,4.6%
World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syria,0.3%,0.9%,1.5%,2.1%,5%,10%,12.2%,15.7%,5.9%,4.4%,33.7%,36.9%,59.1%,59.1%,59.1%
Zambia,21.5%,21%,21.4%,18.3%,18.3%,9%,10.6%,12.4%,8.5%,8.5%,6.5%,6.6%,7.1%,7.1%,7.1%
Chile,3.5%,2.5%,2.8%,2.4%,3.1%,3.4%,4.4%,8.7%,1.7%,1.4%,2.8%,3%,1.7%,1.7%,1.7%
Kenya,3.3%,1.9%,9.8%,9%,10.3%,14.5%,9.7%,26.2%,4.2%,4%,10.1%,9.4%,5.8%,5.8%,5.8%
United Arab Emirates,4.5%,2.8%,3.2%,3.2%,10.5%,13.5%,14%,15.8%,2.2%,0.9%,1.1%,0.7%,1.3%,1.3%,1.3%
Canada,2.2%,2.2%,2.8%,1.9%,2.2%,2%,2.1%,2.4%,1.6%,1.8%,1.8%,1.5%,1%,1%,1%
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,3.1%,1.1%,4.8%,3.5%,0.6%,2.9%,4.4%,9%,6.9%,8.2%,4%,2.6%,6.2%,6.2%,6.2%
Latvia,2%,2%,2.9%,6%,6.8%,6.5%,10.1%,15.4%,-1.2%,-1.1%,2.5%,2.3%,0.2%,0.2%,0.2%
"Macedonia, The Former Yugoslav Republic of",4%,1.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,6%,3.1%,3.1%,5.5%,7.6%,6.3%,2.8%,9.3%,4.2%,3.8%,3.4%,3.2%,2.8%,2.8%,2.8%
Saint Kitts and Nevis,1.7%,1.7%,1.7%,1.7%,8.7%,8.7%,4.5%,4.5%,4.5%,0.5%,0.7%,1.4%,2.2%,2.2%,2.2%
Norway,1.3%,1.3%,2.5%,1%,1.6%,2.3%,0.8%,3.8%,2.4%,2.5%,0.6%,0.7%,1.9%,1.9%,1.9%
Tanzania,5%,4.8%,4.4%,5.4%,4.3%,6.1%,7%,10.3%,7.2%,7.2%,15.3%,16%,7.8%,7.8%,7.8%
Haiti,14%,11.9%,37.8%,22%,15.7%,13.1%,8.5%,15.5%,4.6%,5.7%,5.9%,6.3%,6.3%,6.3%,6.3%
West Bank,1%,2.2%,2.2%,2.2%,7%,2.9%,3.6%,11.5%,3.5%,6%,3.5%,2.8%,1.7%,1.7%,1.7%
Gabon,1.5%,2.3%,0.5%,1.5%,-0.1%,4%,5%,5.3%,-1.3%,1.5%,2.7%,2.7%,1.2%,1.2%,1.2%
Egypt,2.3%,4.3%,4.3%,9.5%,4.9%,7.7%,9.5%,18.3%,12.8%,11.1%,8.5%,7.1%,9%,9%,9%
Israel,5.7%,5.7%,0.7%,0%,1.3%,2.1%,0.5%,4.6%,2.6%,2.7%,2.1%,1.7%,1.7%,1.7%,1.7%
Cape Verde,3%,3%,3%,1.5%,0.4%,5.4%,4.4%,6.8%,2.5%,2.1%,2.4%,NA,NA,NA,NA
Nepal,2.1%,2.8%,2.9%,2.9%,7.8%,8.6%,6.4%,7.7%,8.6%,10%,8.3%,9.5%,NA,NA,NA
"Bahamas, The",1.5%,1.8%,1.7%,1.2%,1.2%,1.2%,2.4%,2.4%,2.4%,1.3%,2.5%,2%,1%,1%,1%
Albania,6%,6%,2.4%,3.2%,2.4%,2.4%,2.9%,3.4%,3.4%,3.5%,2%,2%,1.7%,1.7%,1.7%
Italy,2.4%,2.4%,2.7%,2.3%,2%,2.1%,1.8%,3.4%,1.4%,1.6%,3%,3.3%,1.2%,1.2%,1.2%
Angola,110%,106%,76.6%,43.8%,23%,13.3%,12.2%,12.5%,13.3%,14.5%,10.3%,10.3%,8.9%,8.9%,8.9%
Turkmenistan,10%,5%,9.5%,9%,10.5%,11.5%,11.3%,13%,12%,10%,10.5%,8.5%,9%,9%,9%
Ireland,4.6%,4.6%,3.5%,2.2%,2.4%,3.9%,4.9%,4.1%,-1.5%,-0.9%,1.3%,1.7%,0.6%,0.6%,0.6%
"Korea, North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turks and Caicos Islands,4%,4%,4%,4%,4%,4%,4%,4%,4%,2%,2.5%,2.5%,2.5%,2.5%,2.5%
Benin,3%,3.3%,1.5%,2.8%,3.5%,3.8%,1.3%,7.9%,1.6%,2.3%,6.5%,6.8%,2.4%,2.4%,2.4%
Germany,1.3%,1.3%,1.1%,1.6%,2%,1.7%,2.3%,2.7%,1%,1.1%,2.2%,2.1%,1.6%,1.6%,1.6%
Tuvalu,5%,5%,5%,5%,3.7%,3.9%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%
Saint Helena,3.2%,3.2%,3.2%,3.2%,3.2%,3.2%,3.2%,3.2%,NA,NA,NA,NA,NA,NA,NA
Samoa,2.5%,4%,4%,4%,3.3%,3.3%,6%,6%,6%,1%,3.7%,2.1%,2.7%,2.7%,2.7%
Cambodia,1.6%,3.3%,1.7%,3.1%,5.8%,4.7%,5.9%,25%,4.1%,4%,4.5%,2.9%,3.2%,3.2%,3.2%
El Salvador,3.8%,3.8%,2.1%,5.4%,4.7%,4%,4.6%,7.3%,0.8%,1.2%,2.4%,1.8%,0.9%,0.9%,0.9%
Portugal,3.7%,3.7%,3.3%,2.1%,2.3%,3.1%,2.4%,2.6%,1.1%,1.4%,2.9%,2.8%,0.4%,0.4%,0.4%
Monaco,NA,NA,NA,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.9%,1.5%,1.5%,1.5%,1.5%,1.5%
Sierra Leone,15%,1%,1%,1%,1%,1%,11.7%,11.7%,11.7%,16.6%,12.6%,12.9%,11.1%,11.1%,11.1%
French Guiana,2.5%,1.5%,1.5%,1.5%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,9.4%,8.4%,10.3%,10.3%,11.1%,11.1%,5.9%,5.9%,5.9%,3.6%,4.5%,1.2%,2%,2%,2%
Wallis and Futuna,NA,NA,NA,NA,NA,2.8%,2.8%,2.8%,2.8%,2.8%,2.8%,2.8%,2.8%,2.8%,2.8%
Azerbaijan,2.6%,2.6%,2.1%,4.6%,9.6%,8.3%,16.7%,20.8%,5.1%,5.7%,7.4%,1.1%,2.4%,2.4%,2.4%
Russia,16.2%,15%,13.7%,11.5%,12.7%,9.7%,9%,14.1%,6.7%,6.9%,5.3%,5.1%,6.8%,6.8%,6.8%
Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,0.7%,0.7%,0.7%,4%,4%,4%,4%
Cote d'Ivoire,2.5%,3.2%,3.4%,1.4%,3.9%,2.4%,1.9%,6.3%,1.4%,1.1%,1.4%,1.3%,2.9%,2.9%,2.9%
Mayotte,NA,NA,NA,NA,NA,1.7%,1.7%,1.7%,1.7%,NA,NA,NA,NA,NA,NA
