Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,45.02
Albania,77.41
Algeria,74.5
American Samoa,74.21
Andorra,82.43
Angola,38.76
Anguilla,80.87
Antigua and Barbuda,75.48
Argentina,76.95
Armenia,73.23
Aruba,75.72
Australia,81.81
Austria,79.78
Azerbaijan,67.36
"Bahamas, The",71.18
Bahrain,78.15
Bangladesh,69.75
Barbados,74.34
Belarus,71.2
Belgium,79.51
Belize,68.23
Benin,59.84
Bermuda,80.71
Bhutan,67.3
Bolivia,67.57
Bosnia and Herzegovina,78.81
Botswana,58.05
Brazil,72.53
British Virgin Islands,77.63
Brunei,76.17
Bulgaria,73.59
Burkina Faso,53.7
Burma,64.88
Burundi,58.78
Cambodia,62.67
Cameroon,54.39
Canada,81.38
Cape Verde,70.7
Cayman Islands,80.68
Central African Republic,50.07
Chad,48.33
Chile,77.7
China,74.68
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,74.55
Comoros,64.2
"Congo, Democratic Republic of the",55.33
"Congo, Republic of the",54.91
Cook Islands,74.7
Costa Rica,77.72
Cote d'Ivoire,56.78
Croatia,75.79
Cuba,77.7
Curacao,NA
Cyprus,77.82
Czech Republic,77.19
Denmark,78.63
Djibouti,61.14
Dominica,75.98
Dominican Republic,77.31
Ecuador,75.73
Egypt,72.66
El Salvador,73.44
Equatorial Guinea,62.37
Eritrea,62.52
Estonia,73.33
Ethiopia,56.19
European Union,78.82
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.72
Fiji,71.31
Finland,79.27
France,81.19
French Polynesia,77.1
Gabon,52.49
"Gambia, The",63.51
Gaza Strip,73.92
Georgia,77.12
Germany,80.07
Ghana,61.0
Gibraltar,78.68
Greece,79.92
Greenland,70.96
Grenada,73.04
Guam,78.34
Guatemala,70.88
Guernsey,82.16
Guinea,58.11
Guinea-Bissau,48.7
Guyana,67.08
Haiti,62.17
Honduras,70.61
Hong Kong,82.04
Hungary,74.79
Iceland,80.9
India,66.8
Indonesia,71.33
Iran,70.06
Iraq,70.55
Ireland,80.19
Isle of Man,80.64
Israel,80.96
Italy,81.77
Jamaica,73.45
Japan,82.25
Jersey,81.38
Jordan,80.05
Kazakhstan,68.51
Kenya,59.48
Kiribati,64.39
"Korea, North",68.89
"Korea, South",79.05
Kuwait,77.09
Kyrgyzstan,70.04
Laos,62.39
Latvia,72.68
Lebanon,75.01
Lesotho,51.63
Liberia,57.0
Libya,77.65
Liechtenstein,80.31
Lithuania,75.34
Luxembourg,79.61
Macau,84.41
Macedonia,75.14
Madagascar,63.63
Malawi,51.7
Malaysia,73.79
Maldives,74.45
Mali,52.61
Malta,79.72
Marshall Islands,71.76
Mauritania,61.14
Mauritius,74.48
Mexico,76.47
"Micronesia, Federated States of",71.52
Moldova,71.37
Monaco,89.73
Mongolia,68.31
Montserrat,73.16
Morocco,75.9
Mozambique,51.78
Namibia,52.19
Nauru,65.35
Nepal,66.16
Netherlands,79.68
New Caledonia,76.75
New Zealand,80.59
Nicaragua,71.9
Niger,53.4
Nigeria,47.56
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,77.08
Norway,80.2
Oman,74.22
Pakistan,65.99
Palau,71.78
Panama,77.79
Papua New Guinea,66.24
Paraguay,76.19
Peru,72.47
Philippines,71.66
Pitcairn Islands,NA
Poland,76.05
Portugal,78.54
Puerto Rico,78.92
Qatar,75.7
Romania,73.98
Russia,66.29
Rwanda,58.02
"Saint Helena, Ascension, and Tristan da Cunha",78.76
Saint Kitts and Nevis,74.6
Saint Lucia,76.84
Saint Pierre and Miquelon,79.87
Saint Vincent and the Grenadines,74.15
Samoa,72.4
San Marino,83.01
Sao Tome and Principe,63.11
Saudi Arabia,74.11
Senegal,59.78
Serbia,74.32
Seychelles,73.52
Sierra Leone,56.13
Singapore,82.14
Sint Maarten,NA
Slovakia,75.83
Slovenia,77.3
Solomon Islands,74.18
Somalia,50.4
South Africa,49.33
Spain,81.17
Sri Lanka,75.73
Sudan,55.42
Suriname,74.22
Svalbard,NA
Swaziland,48.66
Sweden,81.07
Switzerland,81.07
Syria,74.69
Taiwan,78.32
Tajikistan,66.03
Tanzania,52.85
Thailand,73.6
Timor-Leste,67.95
Togo,62.71
Tokelau,NA
Tonga,75.16
Trinidad and Tobago,71.37
Tunisia,75.01
Turkey,72.5
Turkmenistan,68.52
Turks and Caicos Islands,79.11
Tuvalu,64.75
Uganda,53.24
Ukraine,68.58
United Arab Emirates,76.51
United Kingdom,80.05
United States,78.37
Uruguay,76.21
Uzbekistan,72.51
Vanuatu,64.7
Venezuela,73.93
Vietnam,72.18
Virgin Islands,79.33
Wallis and Futuna,78.98
West Bank,75.01
Western Sahara,61.13
World,67.07
Yemen,63.74
Zambia,52.36
Zimbabwe,49.64
