Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andorra,83.48,83.49,83.5,83.51,83.51,83.52,82.67,82.51,82.36,82.43,82.5,82.58,82.65,82.65,82.65
Guinea,46.28,49.54,49.7,49.36,49.5,49.65,56.58,57.09,57.6,58.11,58.61,59.11,59.6,59.6,59.6
Brunei,74.06,74.3,74.54,74.8,75.01,75.3,75.52,75.74,75.96,76.17,76.37,76.57,76.77,76.77,76.77
Djibouti,51.6,43.13,43.12,43.1,43.17,43.25,43.31,43.37,60.73,61.14,61.57,61.99,62.4,62.4,62.4
New Caledonia,73.27,73.52,73.78,74.04,74.27,74.5,74.75,74.98,76.56,76.75,76.94,77.13,77.31,77.31,77.31
Nepal,58.61,59.0,59.4,59.8,60.18,60.56,60.94,65.46,65.81,66.16,66.51,66.86,67.19,67.19,67.19
Marshall Islands,66.18,69.39,69.7,70.01,70.31,70.61,70.9,71.19,71.48,71.76,72.03,72.31,72.58,72.58,72.58
Cyprus,77.08,77.27,77.46,77.65,77.82,77.98,78.15,78.33,77.66,77.82,78.0,78.17,78.34,78.34,78.34
Thailand,69.18,71.24,71.41,71.95,72.25,72.55,72.83,73.1,75.02,73.6,73.83,74.05,74.18,74.18,74.18
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The",69.87,65.71,65.63,65.54,65.6,65.66,65.72,65.78,70.84,71.18,71.44,71.69,71.93,71.93,71.93
Slovenia,75.29,75.51,75.93,76.14,76.33,76.53,76.73,76.92,77.12,77.3,77.48,77.66,77.83,77.83,77.83
Netherlands,78.58,78.74,78.68,78.81,78.96,79.11,79.25,79.4,79.55,79.68,80.91,81.01,81.12,81.12,81.12
Bosnia and Herzegovina,72.02,72.29,72.57,77.83,78.0,78.17,78.33,78.5,78.66,78.81,78.96,76.12,76.33,76.33,76.33
