Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,21.0
Albania,-4.41
Algeria,-0.31
American Samoa,-7.17
Andorra,13.99
Angola,1.72
Anguilla,14.6
Antigua and Barbuda,2.41
Argentina,0.0
Armenia,-4.95
Aruba,9.85
Australia,6.34
Austria,1.88
Azerbaijan,-1.97
"Bahamas, The",-2.14
Bahrain,0.4
Bangladesh,-0.65
Barbados,-0.31
Belarus,0.38
Belgium,1.22
Belize,NA
Benin,0.0
Bermuda,2.28
Bhutan,NA
Bolivia,-1.14
Bosnia and Herzegovina,6.38
Botswana,5.41
Brazil,-0.09
British Virgin Islands,8.44
Brunei,2.74
Bulgaria,-3.41
Burkina Faso,NA
Burma,NA
Burundi,5.62
Cambodia,NA
Cameroon,NA
Canada,5.62
Cape Verde,-11.74
Cayman Islands,16.88
Central African Republic,NA
Chad,-3.27
Chile,NA
China,-0.39
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,-0.28
Comoros,NA
"Congo, Democratic Republic of the",1.24
"Congo, Republic of the",-2.52
Costa Rica,0.48
Cote d'Ivoire,NA
Croatia,1.58
Cuba,-1.57
Cyprus,0.42
Czech Republic,0.97
Denmark,2.49
Djibouti,NA
Dominica,-5.46
Dominican Republic,-2.4
Ecuador,-7.98
Egypt,-0.21
El Salvador,-3.4
Equatorial Guinea,NA
Eritrea,NA
Estonia,-3.24
Ethiopia,NA
European Union,1.23
Falkland Islands (Islas Malvinas),NA
Faroe Islands,-0.82
Fiji,-2.62
Finland,0.73
France,1.48
French Polynesia,2.77
Gabon,-3.62
"Gambia, The",0.61
Gaza Strip,0.0
Georgia,-4.36
Germany,2.19
Ghana,-0.55
Gibraltar,0.0
Greece,2.33
Greenland,-5.99
Grenada,-11.23
Guam,NA
Guatemala,-2.26
Guernsey,3.8
Guinea,-1.63
Guinea-Bissau,0.0
Guyana,-7.45
Haiti,-0.61
Honduras,-1.33
Hong Kong,4.55
Hungary,0.86
Iceland,1.13
India,-0.05
Indonesia,-1.25
Iran,-3.28
Iraq,NA
Ireland,4.76
Isle of Man,5.25
Israel,2.52
Italy,2.06
Jamaica,-5.88
Japan,NA
Jersey,2.73
Jordan,5.97
Kazakhstan,-3.31
Kenya,0.0
Kiribati,NA
"Korea, North",NA
"Korea, South",NA
Kuwait,16.39
Kyrgyzstan,-2.55
Laos,NA
Latvia,-2.29
Lebanon,NA
Lesotho,-0.78
Liberia,15.14
Libya,NA
Liechtenstein,4.7
Lithuania,-0.72
Luxembourg,8.54
Macau,26.21
Macedonia,-0.57
Madagascar,NA
Malawi,NA
Malaysia,NA
Maldives,NA
Mali,-5.97
Malta,2.03
Marshall Islands,-5.52
Mauritania,NA
Mauritius,-0.09
Mayotte,2.22
Mexico,-3.84
"Micronesia, Federated States of",-21.04
Moldova,-1.13
Monaco,7.62
Mongolia,NA
Montserrat,NA
Morocco,-0.77
Mozambique,NA
Namibia,0.35
Nauru,NA
Nepal,NA
Netherlands,2.55
Netherlands Antilles,-0.39
New Caledonia,NA
New Zealand,2.62
Nicaragua,-1.13
Niger,-0.57
Nigeria,-0.1
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,7.04
Norway,1.71
Oman,0.33
Pakistan,-0.51
Palau,0.9
Panama,-0.53
Papua New Guinea,NA
Paraguay,-0.07
Peru,-0.97
Philippines,-1.36
Pitcairn Islands,NA
Poland,-0.46
Portugal,3.23
Puerto Rico,-1.03
Qatar,-2.28
Romania,-0.13
Russia,0.28
Rwanda,2.29
Saint Helena,NA
Saint Kitts and Nevis,-2.31
Saint Lucia,-4.33
Saint Pierre and Miquelon,-4.97
Saint Vincent and the Grenadines,-7.56
Samoa,-9.14
San Marino,10.44
Sao Tome and Principe,-1.97
Saudi Arabia,-6.82
Senegal,0.0
Seychelles,-5.11
Sierra Leone,0.0
Singapore,6.88
Slovakia,0.3
Slovenia,0.64
Solomon Islands,NA
Somalia,0.0
South Africa,4.98
Spain,0.99
Sri Lanka,-1.12
Sudan,0.67
Suriname,-0.52
Svalbard,NA
Swaziland,NA
Sweden,1.66
Switzerland,2.21
Syria,NA
Taiwan,0.04
Tajikistan,-1.31
Tanzania,-1.48
Thailand,NA
Timor-Leste,NA
Togo,NA
Tokelau,NA
Tonga,NA
Trinidad and Tobago,-11.2
Tunisia,-0.44
Turkey,0.0
Turkmenistan,-3.0
Turks and Caicos Islands,9.48
Tuvalu,NA
Uganda,0.21
Ukraine,-0.12
United Arab Emirates,24.41
United Kingdom,2.17
United States,2.92
Uruguay,-0.18
Uzbekistan,-3.04
Vanuatu,NA
Venezuela,-0.84
Vietnam,-0.39
Virgin Islands,-5.72
Wallis and Futuna,NA
West Bank,0.0
Yemen,NA
Zambia,-2.63
Zimbabwe,NA
