Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,-2.51
Albania,-3.33
Algeria,-0.27
American Samoa,-6.46
Andorra,0.0
Angola,0.55
Anguilla,12.97
Antigua and Barbuda,2.29
Argentina,0.0
Armenia,-3.35
Aruba,9.29
Australia,5.93
Austria,1.79
Azerbaijan,0.0
"Bahamas, The",0.0
Bahrain,14.74
Bangladesh,-1.04
Barbados,-0.3
Belarus,0.38
Belgium,1.22
Belize,0.0
Benin,0.0
Bermuda,2.04
Bhutan,0.0
Bolivia,-0.84
Bosnia and Herzegovina,0.0
Botswana,4.75
Brazil,-0.09
British Virgin Islands,18.56
Brunei,2.55
Bulgaria,-2.84
Burkina Faso,0.0
Burma,-0.3
Burundi,-0.18
Cambodia,-0.33
Cameroon,0.0
Canada,5.65
Cape Verde,-0.66
Cayman Islands,15.37
Central African Republic,0.0
Chad,-3.74
Chile,0.35
China,-0.33
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,-0.66
Comoros,-2.68
"Congo, Democratic Republic of the",-0.47
"Congo, Republic of the",-0.35
Costa Rica,0.86
Cote d'Ivoire,0.0
Croatia,1.51
Cuba,-3.59
Curacao,1.27
Cyprus,10.75
Czech Republic,0.97
Denmark,2.36
Djibouti,6.02
Dominica,-5.42
Dominican Republic,-1.98
Ecuador,-0.39
Egypt,-0.2
El Salvador,-8.78
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,-3.33
Ethiopia,-0.01
European Union,1.9
Falkland Islands (Islas Malvinas),NA
Faroe Islands,0.0
Fiji,-7.11
Finland,0.62
France,1.1
French Polynesia,-0.94
Gabon,-2.16
"Gambia, The",-2.46
Gaza Strip,0.0
Georgia,-3.96
Germany,0.71
Ghana,-0.56
Gibraltar,-3.31
Greece,2.32
Greenland,-5.98
Grenada,-3.45
Guam,0.0
Guatemala,-2.08
Guernsey,2.59
Guinea,0.0
Guinea-Bissau,0.0
Guyana,-12.78
Haiti,-6.9
Honduras,-1.22
Hong Kong,3.9
Hungary,1.37
Iceland,0.53
India,-0.05
Indonesia,-1.08
Iran,-0.11
Iraq,0.0
Ireland,1.69
Isle of Man,7.41
Israel,1.94
Italy,4.67
Jamaica,-5.17
Japan,0.0
Jersey,4.7
Jordan,-33.42
Kazakhstan,0.43
Kenya,-0.23
Kiribati,-2.85
"Korea, North",-0.04
"Korea, South",0.0
Kuwait,0.0
Kyrgyzstan,-8.1
Laos,-1.14
Latvia,-2.34
Lebanon,-12.08
Lesotho,-8.15
Liberia,0.0
Libya,0.0
Liechtenstein,3.98
Lithuania,-0.73
Luxembourg,8.15
Macau,3.46
Macedonia,-0.48
Madagascar,0.0
Malawi,0.0
Malaysia,-0.37
Maldives,-12.64
Mali,-5.08
Malta,2.0
Marshall Islands,-5.1
Mauritania,-0.89
Mauritius,0.0
Mexico,-3.11
"Micronesia, Federated States of",-20.97
Moldova,-10.02
Monaco,1.02
Mongolia,0.0
Montserrat,0.0
Morocco,-3.67
Mozambique,-2.13
Namibia,0.15
Nauru,-15.04
Nepal,2.58
Netherlands,2.02
New Caledonia,4.18
New Zealand,2.26
Nicaragua,-3.4
Niger,0.0
Nigeria,-0.22
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,-41.32
Norway,1.69
Oman,-0.47
Pakistan,-2.0
Palau,0.71
Panama,-0.38
Papua New Guinea,0.0
Paraguay,-0.08
Peru,-3.03
Philippines,-1.27
Pitcairn Islands,NA
Poland,-0.47
Portugal,2.9
Puerto Rico,-0.82
Qatar,40.62
Romania,-0.26
Russia,0.29
Rwanda,1.0
"Saint Helena, Ascension, and Tristan da Cunha",0.0
Saint Kitts and Nevis,1.24
Saint Lucia,-3.54
Saint Pierre and Miquelon,-8.92
Saint Vincent and the Grenadines,-10.47
Samoa,-10.81
San Marino,8.96
Sao Tome and Principe,-9.14
Saudi Arabia,-0.64
Senegal,-1.82
Serbia,0.0
Seychelles,1.02
Sierra Leone,-3.86
Singapore,15.62
Sint Maarten,14.24
Slovakia,0.29
Slovenia,0.39
Solomon Islands,-1.86
Somalia,-11.62
South Africa,-6.22
Spain,5.02
Sri Lanka,-1.95
Sudan,-4.52
Suriname,0.96
Svalbard,NA
Swaziland,0.0
Sweden,1.65
Switzerland,1.27
Syria,-27.82
Taiwan,0.03
Tajikistan,-1.21
Tanzania,-0.29
Thailand,0.0
Timor-Leste,0.0
Togo,0.0
Tokelau,NA
Tonga,-17.9
Trinidad and Tobago,-6.76
Tunisia,-1.78
Turkey,0.5
Turkmenistan,-1.9
Turks and Caicos Islands,17.27
Tuvalu,-6.97
Uganda,-0.02
Ukraine,-0.08
United Arab Emirates,16.82
United Kingdom,2.59
United States,3.62
Uruguay,-1.45
Uzbekistan,-2.65
Vanuatu,0.0
Venezuela,0.0
Vietnam,-0.34
Virgin Islands,-4.8
Wallis and Futuna,-5.57
West Bank,0.0
Yemen,0.0
Zambia,-0.76
Zimbabwe,23.77
