Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,35%
Albania,13%
Algeria,10.7%
American Samoa,29.8%
Andorra,2.9%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,7.2%
Armenia,17.3%
Aruba,6.9%
Australia,5.2%
Austria,2.9%
Azerbaijan,5.7%
"Bahamas, The",14%
Bahrain,15%
Bangladesh,5%
Barbados,11.6%
Belarus,1%
Belgium,7.6%
Belize,11.3%
Benin,NA
Bermuda,8%
Bhutan,4%
Bolivia,7.5%
Bosnia and Herzegovina,44.1%
Botswana,17.8%
Brazil,5.5%
British Virgin Islands,8.7%
Brunei,2.6%
Bulgaria,11.1%
Burkina Faso,77%
Burma,5.4%
Burundi,NA
Cabo Verde,21%
Cambodia,0%
Cameroon,30%
Canada,7.3%
Cayman Islands,4%
Central African Republic,8%
Chad,NA
Chile,6.3%
China,6.5%
Cocos (Keeling) Islands,60%
Colombia,10.4%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",53%
Cook Islands,13.1%
Costa Rica,7.8%
Cote d'Ivoire,NA
Croatia,19.1%
Cuba,3.8%
Curacao,9.8%
Cyprus,11.9%
Czech Republic,6.8%
Denmark,6%
Djibouti,59%
Dominica,23%
Dominican Republic,14.3%
Ecuador,4.9%
Egypt,12.7%
El Salvador,6.1%
Equatorial Guinea,22.3%
Eritrea,NA
Estonia,10.2%
Ethiopia,NA
European Union,10.2%
Falkland Islands (Islas Malvinas),4.1%
Faroe Islands,6.8%
Fiji,7.6%
Finland,7.8%
France,9.8%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,23%
Georgia,15%
Germany,5.5%
Ghana,11%
Gibraltar,3%
Greece,24.3%
Greenland,4.9%
Grenada,25%
Guam,8.2%
Guatemala,4.1%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,11%
Haiti,40.6%
Honduras,4.4%
Hong Kong,3.3%
Hungary,10.7%
Iceland,5.8%
India,8.5%
Indonesia,6.1%
Iran,15.5%
Iraq,16%
Ireland,14.7%
Isle of Man,2%
Israel,6.9%
Italy,10.7%
Jamaica,13.7%
Japan,4.4%
Jersey,1.7%
Jordan,12.5%
Kazakhstan,5.3%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.2%
Kosovo,45.3%
Kuwait,2.2%
Kyrgyzstan,8.6%
Laos,2.5%
Latvia,11.4%
Lebanon,NA
Lesotho,25%
Liberia,85%
Libya,30%
Liechtenstein,2.5%
Lithuania,13.2%
Luxembourg,6.1%
Macau,2%
Macedonia,31%
Malawi,NA
Malaysia,3%
Maldives,28%
Mali,30%
Malta,6.4%
Marshall Islands,36%
Mauritania,30%
Mauritius,8.1%
Mexico,5%
"Micronesia, Federated States of",22%
Moldova,5.6%
Monaco,0%
Mongolia,9%
Montenegro,19.1%
Montserrat,6%
Morocco,9%
Mozambique,17%
Namibia,51.2%
Nauru,90%
Nepal,46%
Netherlands,5.3%
New Caledonia,17.1%
New Zealand,6.9%
Nicaragua,7.4%
Niger,NA
Nigeria,23.9%
Niue,12%
Northern Mariana Islands,11.2%
Norway,3.2%
Oman,15%
Pakistan,6%
Palau,4.2%
Panama,4.4%
Papua New Guinea,1.9%
Paraguay,6.9%
Peru,5.2%
Philippines,7%
Poland,12.8%
Portugal,15.7%
Puerto Rico,16%
Qatar,0.5%
Romania,5.6%
Russia,5.5%
Rwanda,NA
"Saint Helena, Ascension, and Tristan da Cunha",14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,9.9%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,7%
Sao Tome and Principe,NA
Saudi Arabia,10.6%
Senegal,48%
Serbia,25.9%
Seychelles,2%
Sierra Leone,NA
Singapore,1.9%
Sint Maarten,12%
Slovakia,13.6%
Slovenia,12%
Solomon Islands,NA
Somalia,NA
South Africa,25.1%
Spain,25.1%
Sri Lanka,4%
Sudan,20%
Suriname,9%
Swaziland,40%
Sweden,8%
Switzerland,2.9%
Syria,18%
Taiwan,4.2%
Tajikistan,2.5%
Tanzania,NA
Thailand,0.7%
Timor-Leste,18.4%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,5.6%
Tunisia,17.4%
Turkey,9.2%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,7.5%
United Arab Emirates,2.4%
United Kingdom,8%
United States,8.1%
Uruguay,6%
Uzbekistan,4.9%
Vanuatu,1.7%
Venezuela,7.8%
Vietnam,3.2%
Virgin Islands,6.2%
Wallis and Futuna,12.2%
West Bank,23%
Western Sahara,NA
World,9%
Yemen,35%
Zambia,14%
Zimbabwe,95%
